,group,dose_impact,group_decision,label,amountuom,rate_normaliser,n_subjects,n,mean_amount,std_amount,mean_amount_per_hour,std_amount_per_hour,mean_interval_minutes,std_interval_minutes,p_subjects,comment,Unnamed: 16
77,Ceftaroline,N,or,Ceftaroline,dose,1.0,32,273,1.0,0.0,60.0,0.0,1.0,0.0,0.0006284367635506,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
78,Ceftaroline,N,or,Ceftaroline,grams,1.0,1,1,2.0,0.0,120.0,0.0,1.0,0.0,1.96386488609584e-05,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
79,Ceftaroline,N,or,Ceftaroline,mg,1.0,5,12,550.000021855036,114.812107952584,33000.0013113022,6888.72647715502,1.0,0.0,9.81932443047918e-05,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
80,Ceftazidime,N,or,Ceftazidime,dose,1.0,1767,9375,1.01173333333333,1.02302849334742,60.704,61.3817096008455,1.0,0.0,0.0347014925373134,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
81,Ceftazidime,N,or,Ceftazidime,grams,1.0,162,385,1.87272727272727,0.35635464970116,112.363636363636,21.3812789820696,1.0,0.0,0.0031814611154752,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
82,Ceftazidime,N,or,Ceftazidime,mg,1.0,6,7,678.857142870714,656.578867694032,40731.4285722428,39394.7320616419,1.0,0.0,0.0001178318931657,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
83,Ceftriaxone,N,or,Ceftriaxone,dose,1.0,6723,17273,1.00057893822729,0.0263520569697729,60.0347362936375,1.58112341818638,1.0,0.0,0.132030636292223,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
84,Ceftriaxone,N,or,Ceftriaxone,grams,1.0,318,396,1.42424242424242,0.494852676522468,85.4545454545454,29.6911605913481,1.0,0.0,0.0062450903377847,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
85,Ceftriaxone,N,or,Ceftriaxone,mg,1.0,11,14,312.92857466698,595.546224728112,18775.7144800188,35732.7734836867,1.0,0.0,0.0002160251374705,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
86,Cell Saver,E,E,Cell Saver,ml,1.0,24,24,503.08333158493,187.435530710238,533.291664719582,283.977259161847,61.0,14.5542463548107,0.000471327572663,Could exclude this,"dose matters, but due to small sample, consider or-gate."
87,Cisatracurium,N,or,Cisatracurium,mcg,1.0,1,1,0.200000002337219,187.435530710238,12.0000001402332,283.977259161847,1.0,14.5542463548107,1.96386488609584e-05,Could exclude this,"dose matters, but due to small sample, consider or-gate."
88,Cisatracurium,N,or,Cisatracurium,mg,1.0,1321,14960,56.4051318399547,56.1301358092281,75.5521072587911,239.756171529828,227.494919786096,232.789283614618,0.025942655145326,Could exclude this,"dose matters, but due to small sample, consider or-gate."
89,Citrate,N,or,Citrate,mmol,1.0,1356,31302,97.6379920483555,34.3951251816361,21.428390330682,38.8421773321084,287.083956296722,110.461707990028,0.0266300078554595,Could exclude this,"dose matters, but due to small sample, consider or-gate."
90,Clevidipine (Cleviprex),N,or,Clevidipine (Cleviprex),mg,1.0,198,4562,7.64506619442764,8.27716071905702,6.44253734531545,5.1561629286167,80.0087680841736,94.218373337849,0.0038884524744697,Could exclude this,"dose matters, but due to small sample, consider or-gate."
91,Clindamycin,N,or,Clindamycin,dose,1.0,1046,5709,1.00017516202487,0.0132348791030749,60.0105097214924,0.794092746184492,1.0,0.0,0.0205420267085624,Could exclude this,"dose matters, but due to small sample, consider or-gate."
92,Clindamycin,N,or,Clindamycin,mg,1.0,59,229,678.820987585851,176.649894502509,40729.259255151,10598.9936701505,1.0,0.0,0.0011586802827965,Could exclude this,"dose matters, but due to small sample, consider or-gate."
93,Colistin,N,or,Colistin,dose,1.0,24,328,1.0,0.0,60.0,0.0,1.0,0.0,0.000471327572663,Could exclude this,"dose matters, but due to small sample, consider or-gate."
94,Colistin,N,or,Colistin,mg,1.0,1,3,90.0000035762787,0.0,5400.00021457672,0.0,1.0,0.0,1.96386488609584e-05,Could exclude this,"dose matters, but due to small sample, consider or-gate."
95,Coumadin (Warfarin),N,or,Coumadin (Warfarin),dose,1.0,1418,2251,1.06752554420258,0.484302989313833,64.0515326521546,29.05817935883,1.0,0.0,0.027847604084839,Could exclude this,"dose matters, but due to small sample, consider or-gate."
96,Coumadin (Warfarin),N,or,Coumadin (Warfarin),mcg,1.0,2,2,251.500011927419,351.432086967566,15090.0007156451,21085.925218054,1.0,0.0,3.92772977219167e-05,Could exclude this,"dose matters, but due to small sample, consider or-gate."
97,Coumadin (Warfarin),N,or,Coumadin (Warfarin),mg,1.0,302,380,3.47105279276883,1.96719920428767,208.26316756613,118.03195225726,1.0,0.0,0.0059308719560094,Could exclude this,"dose matters, but due to small sample, consider or-gate."
98,Cryoprecipitate,Y,sum,Cryoprecipitate,ml,1.0,994,3376,123.095895722416,38.3177951240698,306.155800528833,328.718349055011,38.7642180094787,21.5268192247823,0.0195208169677926,Could exclude this,"dose matters, but due to small sample, consider or-gate."
99,Cyclosporine,N,or,Cyclosporine,mg,1.0,12,38,97.6578972239574,66.5384592742602,44.7255706661197,33.6324153325565,163.763157894737,95.6371052639701,0.0002356637863315,Could exclude this,"dose matters, but due to small sample, consider or-gate."
100,D5,Y,w_sum,D5 1/2NS,L,1.0,1,3,1.00000000441074,2.55082811080404e-08,0.100503826141357,0.0004444536175702,597.0,2.64575131106459,1.96386488609584e-05,Could exclude this,"dose matters, but due to small sample, consider or-gate."
101,D5,Y,w_sum,D5 1/2NS,ml,0.001,7373,27457,600.172994438462,399.067622484981,325.099717982288,3153.50998675532,463.515205594202,477.480338471599,0.144795758051846,Could exclude this,"dose matters, but due to small sample, consider or-gate."
102,D5,Y,w_sum,D5 1/4NS,ml,0.001,203,407,544.656258099294,374.988524375399,1558.82008268734,7060.69390218977,409.019656019656,431.892883325109,0.0039866457187745,Could exclude this,"dose matters, but due to small sample, consider or-gate."
103,D5,Y,w_sum,D5LR,ml,0.001,876,3118,606.459389091263,391.789586595948,407.537242425232,3912.69699470071,438.074085952534,412.187601107728,0.0172034564021995,Could exclude this,"dose matters, but due to small sample, consider or-gate."
104,D5,Y,w_sum,D5NS,cm3,0.001,1,1,470.833322107792,391.789586595948,49.9999988079071,3912.69699470071,565.0,412.187601107728,1.96386488609584e-05,Could exclude this,"dose matters, but due to small sample, consider or-gate."
105,D5,Y,w_sum,D5NS,ml,0.001,1980,5815,561.079753512308,401.700985856047,372.94053212265,3611.59187862911,415.402579535684,418.20765127796,0.0388845247446976,Could exclude this,"dose matters, but due to small sample, consider or-gate."
106,Daptomycin,N,or,Daptomycin,dose,1.0,609,2317,1.0,0.0,60.0,0.0,1.0,0.0,0.0119599371563236,Could exclude this,"dose matters, but due to small sample, consider or-gate."
107,Daptomycin,N,or,Daptomycin,mg,1.0,21,32,539.687515934929,202.045744430061,32381.2509560957,12122.7446658036,1.0,0.0,0.0004124116260801,Could exclude this,"dose matters, but due to small sample, consider or-gate."
108,Dexmedetomidine (Precedex),N,or,Dexmedetomidine (Precedex),mcg,1.0,5891,98430,146.080410269027,160.149163353949,73.9380582903585,286.136162473804,129.291079955298,136.732183715395,0.115691280439906,Could exclude this,"dose matters, but due to small sample, consider or-gate."
109,Dexmedetomidine (Precedex),N,or,Dexmedetomidine (Precedex),mg,1.0,361,5969,0.314369337351392,0.339590245651276,0.102174821356688,0.776742488526945,199.512648684872,204.841443494784,0.0070895522388059,Could exclude this,"dose matters, but due to small sample, consider or-gate."
110,Dextran,Y,sum,Dextran 40,ml,1.0,20,42,304.06836736557,171.847815100082,116.651973852089,347.612303353723,613.071428571429,450.907940031305,0.0003927729772191,Could exclude this,"dose matters, but due to small sample, consider or-gate."
111,Dextrose,Y,w_sum,Dextrose 10%,ml,1.0,1181,4514,341.998923297477,334.4898790316,83.7982360129218,1060.82174507722,505.156180770935,601.13225556071,0.0231932443047918,Could exclude this,"dose matters, but due to small sample, consider or-gate."
112,Dextrose,Y,w_sum,Dextrose 20%,ml,1.0,69,569,277.493652914119,262.656931464672,56.423699780382,49.6674086587191,343.525483304042,338.999527089734,0.0013550667714061,Could exclude this,"dose matters, but due to small sample, consider or-gate."
113,Dextrose,Y,w_sum,Dextrose 30%,ml,1.0,2,13,737.259074823214,423.69354091846,79.3634454103617,40.1184776509666,479.846153846154,196.013114422584,3.92772977219167e-05,Could exclude this,"dose matters, but due to small sample, consider or-gate."
114,Dextrose,Y,w_sum,Dextrose 40%,ml,1.0,7,51,230.467435344761,257.425692096676,30.7688012017923,25.3652760378857,447.254901960784,340.379132329657,0.0001374705420267,Could exclude this,"dose matters, but due to small sample, consider or-gate."
115,Dextrose,Y,w_sum,Dextrose 5%,ml,1.0,38356,1024580,110.841767906904,199.573219393754,3285.5713129168,9998.18284323489,167.934788889106,357.660425518408,0.753260015710919,Could exclude this,"dose matters, but due to small sample, consider or-gate."
116,Dextrose,Y,w_sum,Dextrose 50%,ml,1.0,5111,13265,32.3759592913397,13.2908147679234,1942.55755748038,797.448886075403,1.0,0.0,0.100373134328358,Could exclude this,"dose matters, but due to small sample, consider or-gate."
117,Dextrose,Y,w_sum,Dextrose PN,grams,1.0,602,3410,194.52631570415,124.332720244444,12.0083608078098,23.2436059954877,1050.78709677419,517.4251597684,0.0118224666142969,Could exclude this,"dose matters, but due to small sample, consider or-gate."
118,Dextrose,Y,w_sum,Dextrose PN,pg,1.0,1,1,14.9999998731474,124.332720244444,0.843486403363488,23.2436059954877,1067.0,517.4251597684,1.96386488609584e-05,Could exclude this,pg: is it picogram or per gram?
119,Diazepam (Valium),N,or,Diazepam (Valium),mg,1.0,584,4248,9.08658254159982,5.64168763344861,545.194952495989,338.501258006917,1.0,0.0,0.0114689709347997,Could exclude this,pg: is it picogram or per gram?
120,Digoxin (Lanoxin),N,or,Digoxin (Lanoxin),dose,1.0,12,14,0.935714285820723,0.240535117322932,56.1428571492433,14.4321070393759,1.0,0.0,0.0002356637863315,Could exclude this,pg: is it picogram or per gram?
121,Digoxin (Lanoxin),N,or,Digoxin (Lanoxin),mcg,1.0,68,133,167.217300759618,97.7554428348779,10033.0380455771,5865.32657009268,1.0,0.0,0.0013354281225451,Could exclude this,pg: is it picogram or per gram?
122,Digoxin (Lanoxin),N,or,Digoxin (Lanoxin),mg,1.0,405,957,1.18913271796745,13.4115304717671,71.3479630780468,804.691828306023,1.0,0.0,0.0079536527886881,Could exclude this,pg: is it picogram or per gram?
123,Dilantin,N,or,Dilantin,grams,1.0,6,6,1.0,0.0,60.0,0.0,1.0,0.0,0.0001178318931657,Could exclude this,pg: is it picogram or per gram?
124,Dilantin,N,or,Dilantin,mg,1.0,1238,6830,190.637684713867,244.92158143763,10796.4129475257,14231.1300592643,3.03382137628111,11.1458152298958,0.0243126472898665,Could exclude this,pg: is it picogram or per gram?
125,Diltiazem,N,or,Diltiazem,mcg,1.0,1,1,24.9999993684469,244.92158143763,1499.99996210681,14231.1300592643,1.0,11.1458152298958,1.96386488609584e-05,Could exclude this,pg: is it picogram or per gram?
126,Diltiazem,N,or,Diltiazem,mg,1.0,2277,15647,33.6122349469998,39.8810846943993,197.017198581584,400.461008100044,177.82252188918,252.704086068853,0.0447172034564022,Could exclude this,pg: is it picogram or per gram?
127,Dobutamine,N,or,Dobutamine,mg,1.0,895,8389,146.763264771166,135.547554342405,26.5116294514595,22.0731184908107,379.241387531291,362.562532417514,0.0175765907305577,Could exclude this,pg: is it picogram or per gram?
128,Dopamine,N,w_sum,Dopamine,mg,1.0,1758,16450,80.6225701855648,117.397904701506,37.0602126916501,135.535190070656,156.274164133739,243.174569162956,0.0345247446975648,Could exclude this,pg: is it picogram or per gram?
