,icd_code,icd_version,description
44,25000  ,9,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
45,28521  ,9,Anemia in chronic kidney disease
46,27800  ,9,"Obesity, unspecified"
47,2724   ,9,Other and unspecified hyperlipidemia
48,40390  ,9,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified"
49,4280   ,9,"Congestive heart failure, unspecified"
50,41401  ,9,Coronary atherosclerosis of native coronary artery
51,V4582  ,9,Percutaneous transluminal coronary angioplasty status
52,V1254  ,9,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits"
53,V1581  ,9,"Personal history of noncompliance with medical treatment, presenting hazards to health"
54,V5866  ,9,Long-term (current) use of aspirin
55,V5863  ,9,Long-term (current) use of antiplatelet/antithrombotic
56,412    ,9,Old myocardial infarction
57,44021  ,9,Atherosclerosis of native arteries of the extremities with intermittent claudication
58,V5867  ,9,Long-term (current) use of insulin
59,4139   ,9,Other and unspecified angina pectoris
60,V8532  ,9,"Body Mass Index 32.0-32.9, adult"
61,53081  ,9,Esophageal reflux
62,45342  ,9,Acute venous embolism and thrombosis of deep vessels of distal lower extremity
63,53551  ,9,"Unspecified gastritis and gastroduodenitis, with hemorrhage"
64,25040  ,9,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
65,5849   ,9,"Acute kidney failure, unspecified"
66,3572   ,9,Polyneuropathy in diabetes
67,42832  ,9,Chronic diastolic heart failure
68,28749  ,9,Other secondary thrombocytopenia
69,2851   ,9,Acute posthemorrhagic anemia
70,53561  ,9,"Duodenitis, with hemorrhage"
71,9992   ,9,"Other vascular complications of medical care, not elsewhere classified"
72,V5861  ,9,Long-term (current) use of anticoagulants
73,25060  ,9,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
74,58381  ,9,"Nephritis and nephropathy, not specified as acute or chronic, in diseases classified elsewhere"
75,V8522  ,9,"Body Mass Index 26.0-26.9, adult"
76,72992  ,9,Nontraumatic hematoma of soft tissue
77,E9342  ,9,Anticoagulants causing adverse effects in therapeutic use
78,79092  ,9,Abnormal coagulation profile
79,45182  ,9,Phlebitis and thrombophlebitis of superficial veins of upper extremities
80,E8497  ,9,Accidents occurring in residential institution
81,D500   ,10,Iron deficiency anemia secondary to blood loss (chronic)
82,I5023  ,10,Acute on chronic systolic (congestive) heart failure
83,E118   ,10,Type 2 diabetes mellitus with unspecified complications
84,K2970  ,10,"Gastritis, unspecified, without bleeding"
85,Z23    ,10,Encounter for immunization
86,K259   ,10,"Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation"
87,K5730  ,10,Diverticulosis of large intestine without perforation or abscess without bleeding
88,Z87891 ,10,Personal history of nicotine dependence
89,I129   ,10,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
90,Z8673  ,10,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits"
91,R0789  ,10,Other chest pain
92,R791   ,10,Abnormal coagulation profile
93,T45515A,10,"Adverse effect of anticoagulants, initial encounter"
94,I70218 ,10,"Atherosclerosis of native arteries of extremities with intermittent claudication, other extremity"
95,K222   ,10,Esophageal obstruction
96,K219   ,10,Gastro-esophageal reflux disease without esophagitis
97,41071  ,9,"Subendocardial infarction, initial episode of care"
98,41412  ,9,Dissection of coronary artery
99,4240   ,9,Mitral valve disorders
100,5303   ,9,Stricture and stenosis of esophagus
101,V0481  ,9,Need for prophylactic vaccination and inoculation against influenza
102,42833  ,9,Acute on chronic diastolic heart failure
103,41189  ,9,"Other acute and subacute forms of ischemic heart disease, other"
104,5853   ,9,"Chronic kidney disease, Stage III (moderate)"
105,D631   ,10,Anemia in chronic kidney disease
106,E1121  ,10,Type 2 diabetes mellitus with diabetic nephropathy
107,Z7901  ,10,Long term (current) use of anticoagulants
108,I340   ,10,Nonrheumatic mitral (valve) insufficiency
109,Z91128 ,10,Patient's intentional underdosing of medication regimen for other reason
110,3240   ,9,Intracranial abscess
111,3484   ,9,Compression of brain
112,3485   ,9,Cerebral edema
113,5180   ,9,Pulmonary collapse
114,340    ,9,Multiple sclerosis
115,04109  ,9,"Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus"
116,4019   ,9,Unspecified essential hypertension
117,V168   ,9,Family history of other specified malignant neoplasm
118,V161   ,9,"Family history of malignant neoplasm of trachea, bronchus, and lung"
119,04102  ,9,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B"
120,04184  ,9,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes"
121,J441   ,10,Chronic obstructive pulmonary disease with (acute) exacerbation
122,E876   ,10,Hypokalemia
123,I10    ,10,Essential (primary) hypertension
124,E780   ,10,Pure hypercholesterolemia
125,Z9981  ,10,Dependence on supplemental oxygen
126,4263   ,9,Other left bundle branch block
127,78659  ,9,Other chest pain
128,49320  ,9,"Chronic obstructive asthma, unspecified"
129,42789  ,9,Other specified cardiac dysrhythmias
130,E9457  ,9,Antiasthmatics causing adverse effects in therapeutic use
131,56210  ,9,Diverticulosis of colon (without mention of hemorrhage)
132,V4364  ,9,Hip joint replacement
133,7850   ,9,"Tachycardia, unspecified"
134,I4891  ,10,Unspecified atrial fibrillation
135,4871   ,9,Influenza with other respiratory manifestations
136,49322  ,9,Chronic obstructive asthma with (acute) exacerbation
137,49122  ,9,Obstructive chronic bronchitis with acute bronchitis
138,49392  ,9,"Asthma, unspecified type, with (acute) exacerbation"
139,78650  ,9,"Chest pain, unspecified"
140,N179   ,10,"Acute kidney failure, unspecified"
141,D649   ,10,"Anemia, unspecified"
142,G5622  ,10,"Lesion of ulnar nerve, left upper limb"
143,M1990  ,10,"Unspecified osteoarthritis, unspecified site"
144,Z96649 ,10,Presence of unspecified artificial hip joint
145,J45909 ,10,"Unspecified asthma, uncomplicated"
146,F419   ,10,"Anxiety disorder, unspecified"
147,R040   ,10,Epistaxis
148,I739   ,10,"Peripheral vascular disease, unspecified"
149,486    ,9,"Pneumonia, organism unspecified"
150,71590  ,9,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified"
151,42731  ,9,Atrial fibrillation
152,30000  ,9,"Anxiety state, unspecified"
153,4439   ,9,"Peripheral vascular disease, unspecified"
154,42732  ,9,Atrial flutter
155,78652  ,9,Painful respiration
156,37993  ,9,Redness or discharge of eye
157,71530  ,9,"Osteoarthrosis, localized, not specified whether primary or secondary, site unspecified"
158,K7200  ,10,Acute and subacute hepatic failure without coma
159,R579   ,10,"Shock, unspecified"
160,J9602  ,10,Acute respiratory failure with hypercapnia
161,J9601  ,10,Acute respiratory failure with hypoxia
162,I442   ,10,"Atrioventricular block, complete"
163,I82621 ,10,Acute embolism and thrombosis of deep veins of right upper extremity
164,D696   ,10,"Thrombocytopenia, unspecified"
165,I469   ,10,"Cardiac arrest, cause unspecified"
166,M47892 ,10,"Other spondylosis, cervical region"
167,I7389  ,10,Other specified peripheral vascular diseases
168,Z96641 ,10,Presence of right artificial hip joint
169,J0190  ,10,"Acute sinusitis, unspecified"
170,R609   ,10,"Edema, unspecified"
171,D509   ,10,"Iron deficiency anemia, unspecified"
172,R509   ,10,"Fever, unspecified"
173,Y92239 ,10,Unspecified place in hospital as the place of occurrence of the external cause
174,Z7952  ,10,Long term (current) use of systemic steroids
175,Z825   ,10,Family history of asthma and other chronic lower respiratory diseases
176,Z781   ,10,Physical restraint status
177,Z515   ,10,Encounter for palliative care
178,Z66    ,10,Do not resuscitate
179,I447   ,10,"Left bundle-branch block, unspecified"
180,M7981  ,10,Nontraumatic hematoma of soft tissue
181,K921   ,10,Melena
182,D62    ,10,Acute posthemorrhagic anemia
183,J449   ,10,"Chronic obstructive pulmonary disease, unspecified"
184,F17210 ,10,"Nicotine dependence, cigarettes, uncomplicated"
185,R0602  ,10,Shortness of breath
186,H409   ,10,Unspecified glaucoma
187,K449   ,10,Diaphragmatic hernia without obstruction or gangrene
188,Z7982  ,10,Long term (current) use of aspirin
189,56211  ,9,Diverticulitis of colon (without mention of hemorrhage)
190,49390  ,9,"Asthma, unspecified type, unspecified"
191,R079   ,10,"Chest pain, unspecified"
192,H6991  ,10,"Unspecified Eustachian tube disorder, right ear"
193,Z006   ,10,Encounter for examination for normal comparison and control in clinical research program
194,I4892  ,10,Unspecified atrial flutter
195,I480   ,10,Paroxysmal atrial fibrillation
196,J45998 ,10,Other asthma
197,K5900  ,10,"Constipation, unspecified"
198,Z8249  ,10,Family history of ischemic heart disease and other diseases of the circulatory system
199,I248   ,10,Other forms of acute ischemic heart disease
200,R312   ,10,Other microscopic hematuria
201,M7989  ,10,Other specified soft tissue disorders
202,I499   ,10,"Cardiac arrhythmia, unspecified"
203,I25110 ,10,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris
204,E1110  ,10,Type 2 diabetes mellitus with ketoacidosis without coma
205,M869   ,10,"Osteomyelitis, unspecified"
206,I5032  ,10,Chronic diastolic (congestive) heart failure
207,T82855A,10,"Stenosis of coronary artery stent, initial encounter"
208,E11621 ,10,Type 2 diabetes mellitus with foot ulcer
209,E1142  ,10,Type 2 diabetes mellitus with diabetic polyneuropathy
210,E1165  ,10,Type 2 diabetes mellitus with hyperglycemia
211,E1169  ,10,Type 2 diabetes mellitus with other specified complication
212,L97529 ,10,Non-pressure chronic ulcer of other part of left foot with unspecified severity
213,N183   ,10,"Chronic kidney disease, stage 3 (moderate)"
214,B961   ,10,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere
215,B951   ,10,"Streptococcus, group B, as the cause of diseases classified elsewhere"
216,F329   ,10,"Major depressive disorder, single episode, unspecified"
217,G4733  ,10,Obstructive sleep apnea (adult) (pediatric)
218,Z951   ,10,Presence of aortocoronary bypass graft
219,Z9114  ,10,Patient's other noncompliance with medication regimen
220,G2581  ,10,Restless legs syndrome
221,Y840   ,10,"Cardiac catheterization as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
222,Y929   ,10,Unspecified place or not applicable
223,99672  ,9,"Other complications due to other cardiac device, implant, and graft"
224,4111   ,9,Intermediate coronary syndrome
225,E8781  ,9,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation"
226,7273   ,9,Other bursitis
227,72610  ,9,"Disorders of bursae and tendons in shoulder region, unspecified"
228,7262   ,9,"Other affections of shoulder region, not elsewhere classified"
229,34690  ,9,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus"
230,311    ,9,"Depressive disorder, not elsewhere classified"
231,4400   ,9,Atherosclerosis of aorta
232,25062  ,9,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled"
233,27801  ,9,Morbid obesity
234,V8538  ,9,"Body Mass Index 38.0-38.9, adult"
235,41402  ,9,Coronary atherosclerosis of autologous vein bypass graft
236,0389   ,9,Unspecified septicemia
237,99592  ,9,Severe sepsis
238,5959   ,9,"Cystitis, unspecified"
239,7245   ,9,"Backache, unspecified"
240,78900  ,9,"Abdominal pain, unspecified site"
241,5859   ,9,"Chronic kidney disease, unspecified"
242,41400  ,9,"Coronary atherosclerosis of unspecified type of vessel, native or graft"
243,V4581  ,9,Aortocoronary bypass status
244,32723  ,9,Obstructive sleep apnea (adult)(pediatric)
245,33394  ,9,Restless legs syndrome (RLS)
246,71941  ,9,"Pain in joint, shoulder region"
247,78052  ,9,"Insomnia, unspecified"
248,A419   ,10,"Sepsis, unspecified organism"
249,M86672 ,10,"Other chronic osteomyelitis, left ankle and foot"
250,M86172 ,10,"Other acute osteomyelitis, left ankle and foot"
251,L03116 ,10,Cellulitis of left lower limb
252,J9811  ,10,Atelectasis
253,E1152  ,10,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene
254,I96    ,10,"Gangrene, not elsewhere classified"
255,L97524 ,10,Non-pressure chronic ulcer of other part of left foot with necrosis of bone
256,B9561  ,10,Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere
257,N189   ,10,"Chronic kidney disease, unspecified"
258,4928   ,9,Other emphysema
259,51889  ,9,"Other diseases of lung, not elsewhere classified"
260,V1272  ,9,Personal history of colonic polyps
261,I25119 ,10,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris
262,I25709 ,10,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with unspecified angina pectoris"
263,E1140  ,10,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified"
264,Z6837  ,10,"Body mass index (BMI) 37.0-37.9, adult"
265,G8929  ,10,Other chronic pain
266,M25519 ,10,Pain in unspecified shoulder
267,33183  ,9,"Mild cognitive impairment, so stated"
268,42830  ,9,"Diastolic heart failure, unspecified"
269,7905   ,9,Other nonspecific abnormal serum enzyme levels
270,72709  ,9,Other synovitis and tenosynovitis
271,8449   ,9,Sprains and strains of unspecified site of knee and leg
272,E9289  ,9,Unspecified accident
273,4589   ,9,"Hypotension, unspecified"
274,3555   ,9,Tarsal tunnel syndrome
275,6989   ,9,Unspecified pruritic disorder
276,3558   ,9,"Mononeuritis of lower limb, unspecified"
277,L03031 ,10,Cellulitis of right toe
278,Z89412 ,10,Acquired absence of left great toe
279,1628   ,9,Malignant neoplasm of other parts of bronchus or lung
280,51884  ,9,Acute and chronic respiratory failure
281,5781   ,9,Blood in stool
282,49121  ,9,Obstructive chronic bronchitis with (acute) exacerbation
283,36250  ,9,"Macular degeneration (senile), unspecified"
284,28522  ,9,Anemia in neoplastic disease
285,79902  ,9,Hypoxemia
286,41011  ,9,"Acute myocardial infarction of other anterior wall, initial episode of care"
287,42821  ,9,Acute systolic heart failure
288,7455   ,9,Ostium secundum type atrial septal defect
289,E8790  ,9,"Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
290,2720   ,9,Pure hypercholesterolemia
291,2859   ,9,"Anemia, unspecified"
292,43491  ,9,"Cerebral artery occlusion, unspecified with cerebral infarction"
293,5932   ,9,"Cyst of kidney, acquired"
294,2469   ,9,Unspecified disorder of thyroid
295,2853   ,9,Antineoplastic chemotherapy induced anemia
296,E9331  ,9,Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use
297,E8498  ,9,Accidents occurring in other specified places
298,51881  ,9,Acute respiratory failure
299,42822  ,9,Chronic systolic heart failure
300,28866  ,9,Bandemia
301,57420  ,9,"Calculus of gallbladder without mention of cholecystitis, without mention of obstruction"
302,2809   ,9,"Iron deficiency anemia, unspecified"
303,2764   ,9,Mixed acid-base balance disorder
304,00845  ,9,Intestinal infection due to Clostridium difficile
305,29281  ,9,Drug-induced delirium
306,5119   ,9,Unspecified pleural effusion
307,1122   ,9,Candidiasis of other urogenital sites
308,27669  ,9,Other fluid overload
309,7102   ,9,Sicca syndrome
310,E9393  ,9,"Other antipsychotics, neuroleptics, and major tranquilizers causing adverse effects in therapeutic use"
311,73300  ,9,"Osteoporosis, unspecified"
312,2449   ,9,Unspecified acquired hypothyroidism
313,03843  ,9,Septicemia due to pseudomonas
314,42843  ,9,Acute on chronic combined systolic and diastolic heart failure
315,5990   ,9,"Urinary tract infection, site not specified"
316,99591  ,9,Sepsis
317,6930   ,9,Dermatitis due to drugs and medicines taken internally
318,1123   ,9,Candidiasis of skin and nails
319,V707   ,9,Examination of participant in clinical trial
320,7802   ,9,Syncope and collapse
321,78720  ,9,"Dysphagia, unspecified"
322,4241   ,9,Aortic valve disorders
323,S0990XA,10,"Unspecified injury of head, initial encounter"
324,S4992XA,10,"Unspecified injury of left shoulder and upper arm, initial encounter"
325,S79912A,10,"Unspecified injury of left hip, initial encounter"
326,W1839XA,10,"Other fall on same level, initial encounter"
327,Z9181  ,10,History of falling
328,Y92129 ,10,Unspecified place in nursing home as the place of occurrence of the external cause
329,M3500  ,10,"Sicca syndrome, unspecified"
330,H53143 ,10,"Visual discomfort, bilateral"
331,H04123 ,10,Dry eye syndrome of bilateral lacrimal glands
332,H3530  ,10,Unspecified macular degeneration
333,Z961   ,10,Presence of intraocular lens
334,E039   ,10,"Hypothyroidism, unspecified"
335,M4856XA,10,"Collapsed vertebra, not elsewhere classified, lumbar region, initial encounter for fracture"
336,M5030  ,10,"Other cervical disc degeneration, unspecified cervical region"
337,E049   ,10,"Nontoxic goiter, unspecified"
338,K922   ,10,"Gastrointestinal hemorrhage, unspecified"
339,E43    ,10,Unspecified severe protein-calorie malnutrition
340,M8008XA,10,"Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture"
341,F0390  ,10,Unspecified dementia without behavioral disturbance
342,Z681   ,10,"Body mass index (BMI) 19.9 or less, adult"
343,R000   ,10,"Tachycardia, unspecified"
344,Z931   ,10,Gastrostomy status
345,Z5309  ,10,Procedure and treatment not carried out because of other contraindication
346,0383   ,9,Septicemia due to anaerobes
347,78552  ,9,Septic shock
348,5184   ,9,"Acute edema of lung, unspecified"
349,5845   ,9,Acute kidney failure with lesion of tubular necrosis
350,5809   ,9,Acute glomerulonephritis with unspecified pathological lesion in kidney
351,34831  ,9,Metabolic encephalopathy
352,2762   ,9,Acidosis
353,5601   ,9,Paralytic ileus
354,5641   ,9,Irritable bowel syndrome
355,4739   ,9,Unspecified sinusitis (chronic)
356,78097  ,9,Altered mental status
357,E9478  ,9,Other drugs and medicinal substances causing adverse effects in therapeutic use
358,4940   ,9,Bronchiectasis without acute exacerbation
359,53550  ,9,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage"
360,5768   ,9,Other specified disorders of biliary tract
361,7904   ,9,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]
362,5730   ,9,Chronic passive congestion of liver
363,82009  ,9,Other closed transcervical fracture of neck of femur
364,E8859  ,9,"Fall from other slipping, tripping, or stumbling"
365,V1261  ,9,Personal history of pneumonia (recurrent)
366,V441   ,9,Gastrostomy status
367,I281   ,10,Aneurysm of pulmonary artery
368,I272   ,10,Other secondary pulmonary hypertension
369,E871   ,10,Hypo-osmolality and hyponatremia
370,I2781  ,10,Cor pulmonale (chronic)
371,N400   ,10,Benign prostatic hyperplasia without lower urinary tract symptoms
372,Z902   ,10,Acquired absence of lung [part of]
373,Z9861  ,10,Coronary angioplasty status
374,C799   ,10,Secondary malignant neoplasm of unspecified site
375,J439   ,10,"Emphysema, unspecified"
376,I071   ,10,Rheumatic tricuspid insufficiency
377,I2720  ,10,"Pulmonary hypertension, unspecified"
378,Z7902  ,10,Long term (current) use of antithrombotics/antiplatelets
379,C439   ,10,"Malignant melanoma of skin, unspecified"
380,I6523  ,10,Occlusion and stenosis of bilateral carotid arteries
381,I4510  ,10,Unspecified right bundle-branch block
382,E7849  ,10,Other hyperlipidemia
383,R740   ,10,Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH]
384,I255   ,10,Ischemic cardiomyopathy
385,J189   ,10,"Pneumonia, unspecified organism"
386,J9691  ,10,"Respiratory failure, unspecified with hypoxia"
387,C7951  ,10,Secondary malignant neoplasm of bone
388,J90    ,10,"Pleural effusion, not elsewhere classified"
389,I079   ,10,"Rheumatic tricuspid valve disease, unspecified"
390,D638   ,10,Anemia in other chronic diseases classified elsewhere
391,K4030  ,10,"Unilateral inguinal hernia, with obstruction, without gangrene, not specified as recurrent"
392,I509   ,10,"Heart failure, unspecified"
393,F39    ,10,Unspecified mood [affective] disorder
394,R45851 ,10,Suicidal ideations
395,M542   ,10,Cervicalgia
396,B20    ,10,Human immunodeficiency virus [HIV] disease
397,R51    ,10,Headache
398,W19XXXA,10,"Unspecified fall, initial encounter"
399,B1920  ,10,Unspecified viral hepatitis C without hepatic coma
400,F10129 ,10,"Alcohol abuse with intoxication, unspecified"
401,R4182  ,10,"Altered mental status, unspecified"
402,E162   ,10,"Hypoglycemia, unspecified"
403,3559   ,9,Mononeuritis of unspecified site
404,V620   ,9,Unemployment
405,30001  ,9,Panic disorder without agoraphobia
406,V1552  ,9,Personal history of traumatic brain injury
407,30500  ,9,"Alcohol abuse, unspecified"
408,30560  ,9,"Cocaine abuse, unspecified"
409,F1994  ,10,"Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder"
410,F1490  ,10,"Cocaine use, unspecified, uncomplicated"
411,F1099  ,10,"Alcohol use, unspecified with unspecified alcohol-induced disorder"
412,F209   ,10,"Schizophrenia, unspecified"
413,Z87820 ,10,Personal history of traumatic brain injury
414,V6284  ,9,Suicidal ideation
415,F29    ,10,Unspecified psychosis not due to a substance or known physiological condition
416,F1910  ,10,"Other psychoactive substance abuse, uncomplicated"
417,N390   ,10,"Urinary tract infection, site not specified"
418,F1010  ,10,"Alcohol abuse, uncomplicated"
419,F17200 ,10,"Nicotine dependence, unspecified, uncomplicated"
420,Z590   ,10,Homelessness
421,Z21    ,10,Asymptomatic human immunodeficiency virus [HIV] infection status
422,30590  ,9,"Other, mixed, or unspecified drug abuse, unspecified"
423,V600   ,9,Lack of housing
424,7801   ,9,Hallucinations
425,2511   ,9,Other specified hypoglycemia
426,33829  ,9,Other chronic pain
427,37950  ,9,"Nystagmus, unspecified"
428,F10239 ,10,"Alcohol dependence with withdrawal, unspecified"
429,F1110  ,10,"Opioid abuse, uncomplicated"
430,F1410  ,10,"Cocaine abuse, uncomplicated"
431,D72819 ,10,"Decreased white blood cell count, unspecified"
432,29633  ,9,"Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior"
433,29284  ,9,Drug-induced mood disorder
434,6253   ,9,Dysmenorrhea
435,30553  ,9,"Opioid abuse, in remission"
436,2989   ,9,Unspecified psychosis
437,73313  ,9,Pathologic fracture of vertebrae
438,3361   ,9,Vascular myelopathies
439,135    ,9,Sarcoidosis
440,5178   ,9,Lung involvement in other diseases classified elsewhere
441,V5865  ,9,Long-term (current) use of steroids
442,V5811  ,9,Encounter for antineoplastic chemotherapy
443,20190  ,9,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites"
444,4580   ,9,Orthostatic hypotension
445,3899   ,9,Unspecified hearing loss
446,2930   ,9,Delirium due to conditions classified elsewhere
447,28803  ,9,Drug induced neutropenia
448,78609  ,9,Other respiratory abnormalities
449,78630  ,9,"Hemoptysis, unspecified"
450,9961   ,9,"Mechanical complication of other vascular device, implant, and graft"
451,27651  ,9,Dehydration
452,V5869  ,9,Long-term (current) use of other medications
453,E8798  ,9,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
454,8730   ,9,"Open wound of scalp, without mention of complication"
455,E8889  ,9,Unspecified fall
456,20280  ,9,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites"
457,E8490  ,9,Home accidents
458,E0092  ,9,Activity involving aerobic and step exercise
459,V4579  ,9,Other acquired absence of organ
460,20193  ,9,"Hodgkin's disease, unspecified type, intra-abdominal lymph nodes"
461,60000  ,9,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS)
462,34982  ,9,Toxic encephalopathy
463,29420  ,9,"Dementia, unspecified, without behavioral disturbance"
464,5589   ,9,Other and unspecified noninfectious gastroenteritis and colitis
465,3529   ,9,Unspecified disorder of cranial nerves
466,27542  ,9,Hypercalcemia
467,7862   ,9,Cough
468,78060  ,9,"Fever, unspecified"
469,28860  ,9,"Leukocytosis, unspecified"
470,78061  ,9,Fever presenting with conditions classified elsewhere
471,4270   ,9,Paroxysmal supraventricular tachycardia
472,90089  ,9,Injury to other specified blood vessels of head and neck
473,99811  ,9,Hemorrhage complicating a procedure
474,2753   ,9,Disorders of phosphorus metabolism
475,36411  ,9,Chronic iridocyclitis in diseases classified elsewhere
476,7856   ,9,Enlargement of lymph nodes
477,53250  ,9,"Chronic or unspecified duodenal ulcer with perforation, without mention of obstruction"
478,56729  ,9,Other suppurative peritonitis
479,28800  ,9,"Neutropenia, unspecified"
480,5699   ,9,Unspecified disorder of intestine
481,55321  ,9,Incisional hernia without mention of obstruction or gangrene
482,D8689  ,10,Sarcoidosis of other sites
483,Z8042  ,10,Family history of malignant neoplasm of prostate
484,Z8572  ,10,Personal history of non-Hodgkin lymphomas
485,Z9621  ,10,Cochlear implant status
486,H9190  ,10,"Unspecified hearing loss, unspecified ear"
487,1543   ,9,"Malignant neoplasm of anus, unspecified site"
488,2866   ,9,Defibrination syndrome
489,99594  ,9,Systemic inflammatory response syndrome due to noninfectious process with acute organ dysfunction
490,20300  ,9,"Multiple myeloma, without mention of having achieved remission"
491,2639   ,9,Unspecified protein-calorie malnutrition
492,99809  ,9,"Postoperative shock, other"
493,45383  ,9,"Acute venous embolism and thrombosis of upper extremity, unspecified"
494,99832  ,9,Disruption of external operation (surgical) wound
495,99674  ,9,"Other complications due to other vascular device, implant, and graft"
496,99859  ,9,Other postoperative infection
497,56089  ,9,Other specified intestinal obstruction
498,55320  ,9,"Ventral, unspecified, hernia without mention of obstruction or gangrene"
499,V4987  ,9,Physical restraints status
500,5680   ,9,Peritoneal adhesions (postoperative) (postinfection)
501,71596  ,9,"Osteoarthrosis, unspecified whether generalized or localized, lower leg"
502,E8786  ,9,"Removal of other organ (partial) (total) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
503,V153   ,9,"Personal history of irradiation, presenting hazards to health"
504,V6441  ,9,Laparoscopic surgical procedure converted to open procedure
505,V8533  ,9,"Body Mass Index 33.0-33.9, adult"
506,81600  ,9,"Closed fracture of phalanx or phalanges of hand, unspecified"
507,E887   ,9,"Fracture, cause unspecified"
