,group,label,n_subjects,n,p_subjects
72,Digoxin (Lanoxin),Digoxin (Lanoxin),445,1104,0.008739198743126474
73,Dilantin,Dilantin,1240,6836,0.024351924587588374
74,Diltiazem,Diltiazem,2278,15648,0.04473684210526316
75,Dobutamine,Dobutamine,895,8389,0.01757659073055774
76,Dopamine,Dopamine,1758,16450,0.03452474469756481
77,Dopamine,Ketamine,260,3101,0.005106048703849175
78,Dopamine,Thiamine,3539,10848,0.06950117831893166
79,Doxycycline,Doxycycline,292,1291,0.005734485467399843
80,Doxycycline,Tigecycline,44,359,0.0008641005498821681
81,Drotrecogin (Xigris),Drotrecogin (Xigris),9,102,0.00017674783974862528
82,Enlive (Full),Enlive (Full),1,1,1.9638648860958365e-05
83,Enoxaparin (Lovenox),Enoxaparin (Lovenox),1079,3484,0.021190102120974077
84,Ensure,Ensure (3/4),1,1,1.9638648860958365e-05
85,Ensure,Ensure (Full),234,725,0.004595443833464258
86,Ensure,Ensure Plus (Full),70,196,0.0013747054202670856
87,Epinephrine,Epinephrine,2867,23622,0.05630400628436764
88,Epinephrine,Epinephrine.,52,119,0.001021209740769835
89,Epoprostenol (Veletri),Epoprostenol (Veletri),5,147,9.819324430479184e-05
90,Eptifibatide (Integrilin),Eptifibatide (Integrilin),493,1139,0.009681853888452474
91,Ertapenem sodium (Invanz),Ertapenem sodium (Invanz),15,32,0.0002945797329143755
92,Esmolol,Esmolol,958,12587,0.018813825608798115
93,Esomeprazole (Nexium),Esomeprazole (Nexium),73,177,0.0014336213668499607
94,Ethambutol,Ethambutol,7,13,0.00013747054202670856
95,Factor VIII,Factor VIII,7,10,0.00013747054202670856
96,Factor VIII,Factor VIIa,50,106,0.0009819324430479183
97,Famotidine (Pepcid),Famotidine (Pepcid),11732,55894,0.23040062843676354
98,Fentanyl,Fentanyl,16972,201689,0.3333071484681854
99,Fentanyl,Fentanyl (Concentrate),10002,109428,0.19642576590730557
100,Fiber Supplement (i.e. Banana Flakes),Fiber Supplement (i.e. Banana Flakes),116,597,0.0022780832678711703
101,Fibersource HN (1/2),Fibersource HN (1/2),5,42,9.819324430479184e-05
102,Fibersource HN (1/2),Fibersource HN (1/4),1,26,1.9638648860958365e-05
103,Fibersource HN (1/2),Fibersource HN (3/4),5,49,9.819324430479184e-05
104,Fibersource HN (1/2),Fibersource HN (Full),484,5842,0.00950510604870385
105,Fluconazole,Fluconazole,1180,4695,0.023173605655930872
106,Fluconazole,Voriconazole,222,1711,0.0043597800471327575
107,Folic Acid,Folic Acid,1686,3392,0.033110761979575805
108,Fondaparinux,Fondaparinux,99,247,0.0019442262372348783
109,Foscarnet,Foscarnet,11,92,0.00021602513747054204
110,Fosphenytoin,Fosphenytoin,506,4013,0.009937156323644933
111,Free Water,Free Water,5558,70566,0.10915161036920659
112,Fresh Frozen Plasma,Fresh Frozen Plasma,4518,16148,0.0887274155538099
113,Furosemide (Lasix),Furosemide (Lasix),18650,99412,0.36626080125687355
114,Furosemide (Lasix),Furosemide (Lasix) 250/50,2517,18645,0.04943047918303221
115,GT Flush,GT Flush,12100,223876,0.23762765121759624
116,Gastric Meds,Gastric Meds,14825,304468,0.29114296936370776
117,Gentamicin,Gentamicin,786,2350,0.015435978004713276
118,Glucerna (1/2),Glucerna (1/2),2,18,3.927729772191673e-05
119,Glucerna (1/2),Glucerna (Full),101,1399,0.001983503534956795
120,Glucerna (1/2),Glucerna 1.2 (Full),719,10301,0.014120188531029065
121,Glucerna (1/2),Glucerna 1.5 (Full),702,10123,0.013786331500392773
122,Glycopyrolate (Robinul),Glycopyrolate (Robinul),2401,2761,0.04715239591516104
123,Haloperidol (Haldol),Haloperidol (Haldol),3479,13605,0.06832285938727416
124,Heparin Sodium,Heparin Sodium,8553,76015,0.1679693637077769
125,Heparin Sodium,Heparin Sodium (Impella),96,1322,0.0018853102906520032
126,Heparin Sodium,Heparin Sodium (Prophylaxis),18732,150630,0.3678711704634721
127,Hetastarch (Hespan) 6%,Hetastarch (Hespan) 6%,41,51,0.000805184603299293
128,Hydralazine,Hydralazine,7488,30426,0.14705420267085625
129,Hydrochloric Acid - HCL,Hydrochloric Acid - HCL,25,48,0.0004909662215239591
130,Hydromorphone (Dilaudid),Hydromorphone (Dilaudid),10585,100046,0.20787509819324432
131,IV Immune Globulin (IVIG),IV Immune Globulin (IVIG),255,1738,0.005007855459544384
132,Imipenem/Cilastatin,Imipenem/Cilastatin,145,1467,0.0028476040848389632
133,Impact (1/2),Impact (1/2),4,31,7.855459544383346e-05
134,Impact (1/2),Impact (1/4),1,10,1.9638648860958365e-05
135,Impact (1/2),Impact (3/4),4,44,7.855459544383346e-05
136,Impact (1/2),Impact (Full),21,169,0.0004124116260801257
137,Impact (1/2),Impact with Fiber (1/2),4,8,7.855459544383346e-05
138,Impact (1/2),Impact with Fiber (1/4),1,1,1.9638648860958365e-05
139,Impact (1/2),Impact with Fiber (3/4),1,29,1.9638648860958365e-05
140,Impact (1/2),Impact with Fiber (Full),76,591,0.0014925373134328358
141,Insulin,Insulin - 70/30,218,755,0.004281225451688924
142,Insulin,Insulin - Glargine,9420,30118,0.1849960722702278
143,Insulin,Insulin - Humalog,10369,83996,0.2036331500392773
144,Insulin,Insulin - Humalog 75/25,118,344,0.002317360565593087
145,Insulin,Insulin - NPH,1135,7075,0.022289866457187744
146,Insulin,Insulin - Novolog,171,936,0.0033582089552238806
147,Insulin,Insulin - Regular,19510,283479,0.38315003927729774
148,Insulin,Insulin - U500,4,18,7.855459544383346e-05
149,Isoniazid,Isoniazid,9,15,0.00017674783974862528
150,Isosource 1.5 (1/2),Isosource 1.5 (1/2),9,64,0.00017674783974862528
151,Isosource 1.5 (1/2),Isosource 1.5 (1/4),2,8,3.927729772191673e-05
152,Isosource 1.5 (1/2),Isosource 1.5 (2/3),1,2,1.9638648860958365e-05
153,Isosource 1.5 (1/2),Isosource 1.5 (3/4),2,20,3.927729772191673e-05
154,Isosource 1.5 (1/2),Isosource 1.5 (Full),566,5813,0.011115475255302435
155,Isuprel,Isuprel,36,156,0.0007069913589945011
156,Jevity,Jevity 1.2 (Full),1016,10906,0.0199528672427337
157,Jevity,Jevity 1.5 (Full),1237,12805,0.0242930086410055
158,K Phos,K Phos,4860,8775,0.09544383346425767
159,K Phos,Na Phos,3370,6087,0.06618224666142969
160,KCL (Bolus),KCL (Bolus),16025,98860,0.3147093479968578
161,KCL (Bolus),KCl (CRRT),1407,51106,0.02763157894736842
162,Keflex,Keflex,77,179,0.0015121759622937943
163,Ketorolac (Toradol),Ketorolac (Toradol),1903,4962,0.03737234878240377
164,LR,LR,22626,107676,0.444344069128044
165,Labetalol,Labetalol,3626,22994,0.07120974076983504
166,Lansoprazole (Prevacid),Lansoprazole (Prevacid),1303,3402,0.02558915946582875
167,Lepirudin,Lepirudin,5,15,9.819324430479184e-05
168,Levetiracetam (Keppra),Levetiracetam (Keppra),3326,15676,0.06531814611154753
169,Lidocaine,Lidocaine,374,1462,0.007344854673998429
170,Linezolid,Linezolid,897,6802,0.017615868028279653
171,Lipids (additive),Lipids (additive),363,2077,0.007128829536527887
172,Lipids (additive),Lipids 10%,1,1,1.9638648860958365e-05
173,Lipids (additive),Lipids 20%,36,108,0.0007069913589945011
174,Lorazepam (Ativan),Lorazepam (Ativan),7941,37331,0.1559505106048704
175,Magnesium Sulfate,Magnesium Sulfate,26403,72358,0.5185192458758837
176,Magnesium Sulfate,Magnesium Sulfate (Bolus),21356,51767,0.41940298507462687
177,Magnesium Sulfate,Magnesium Sulfate (OB-GYN),60,118,0.001178318931657502
178,Mannitol,Mannitol,516,2049,0.010133542812254518
179,Meperidine (Demerol),Meperidine (Demerol),893,1587,0.01753731343283582
180,Meropenem,Meropenem,2980,38093,0.05852317360565593
181,Methadone Hydrochloride,Methadone Hydrochloride,195,1870,0.0038295365278868815
182,Metoprolol,Metoprolol,9936,58913,0.19512961508248233
183,Metronidazole,Metronidazole,6829,56581,0.13411233307148468
184,Micafungin,Micafungin,954,4666,0.01873527101335428
185,Midazolam (Versed),Midazolam (Versed),9178,107299,0.1802435192458759
186,Milrinone,Milrinone,1009,9507,0.01981539670070699
187,Morphine Sulfate,Morphine Sulfate,12858,72038,0.25251374705420265
188,Multivitamins,Multivitamins,933,1576,0.018322859387274154
189,Mycophenolate mofetil (Cellcept),Mycophenolate mofetil (Cellcept),12,50,0.0002356637863315004
190,NaCl,NaCl 0.45%,2626,9951,0.05157109190887667
191,NaCl,NaCl 0.9%,44381,1246092,0.8715828750981932
192,NaCl,NaCl 23.4%,191,309,0.0037509819324430477
193,NaCl,NaCl 3% (Hypertonic Saline),1134,8473,0.022270227808326788
194,Nafcillin,Nafcillin,562,11508,0.011036920659858602
195,Naloxone (Narcan),Naloxone (Narcan),276,684,0.005420267085624509
196,Neostigmine (Prostigmin),Neostigmine (Prostigmin),1990,2016,0.03908091123330715
197,Nepro (1/2),Nepro (1/2),3,12,5.89159465828751e-05
198,Nepro (1/2),Nepro (Full),1274,16583,0.02501963864886096
199,Nesiritide,Nesiritide,18,57,0.00035349567949725057
200,Nicardipine,Nicardipine,2805,37155,0.05508641005498822
201,Nicardipine,Nicardipine 40mg/200,757,10355,0.014866457187745484
202,Nitroglycerin,Nitroglycerin,7277,76029,0.14291044776119402
203,Nitroprusside,Nitroprusside,562,7371,0.011036920659858602
204,Norepinephrine,Norepinephrine,10577,332191,0.20771798900235663
205,NovaSource Renal (1/2),NovaSource Renal (1/2),15,130,0.0002945797329143755
206,NovaSource Renal (1/2),NovaSource Renal (3/4),7,59,0.00013747054202670856
207,NovaSource Renal (1/2),NovaSource Renal (Full),290,4222,0.0056952081696779264
208,Nutren,Nutren 2.0 (1/2),7,45,0.00013747054202670856
209,Nutren,Nutren 2.0 (1/4),6,29,0.0001178318931657502
210,Nutren,Nutren 2.0 (2/3),3,17,5.89159465828751e-05
211,Nutren,Nutren 2.0 (3/4),8,82,0.00015710919088766692
212,Nutren,Nutren 2.0 (Full),338,3766,0.006637863315003927
213,Nutren,Nutren Pulmonary (1/2),6,43,0.0001178318931657502
214,Nutren,Nutren Pulmonary (3/4),2,13,3.927729772191673e-05
215,Nutren,Nutren Pulmonary (Full),438,5693,0.008601728201099765
216,Nutren,Nutren Renal (1/2),7,80,0.00013747054202670856
217,Nutren,Nutren Renal (1/4),1,3,1.9638648860958365e-05
218,Nutren,Nutren Renal (3/4),3,61,5.89159465828751e-05
219,Nutren,Nutren Renal (Full),128,1718,0.0025137470542026708
220,OR Autologous Blood Intake,OR Autologous Blood Intake,203,203,0.003986645718774548
221,OR Cell Saver Intake,OR Cell Saver Intake,6582,6732,0.12926158680282795
222,OR Colloid Intake,OR Colloid Intake,1887,2028,0.037058130400628435
223,OR Colloid Intake,PACU Colloid Intake,233,239,0.004575805184603299
224,OR Cryoprecipitate Intake,OR Cryoprecipitate Intake,541,572,0.010624509033778476
225,OR Crystalloid Intake,OR Crystalloid Intake,15880,20246,0.3118617439120189
226,OR Crystalloid Intake,PACU Crystalloid Intake,2127,2251,0.041771406127258444
227,OR FFP Intake,OR FFP Intake,2164,2445,0.0424980361351139
228,OR FFP Intake,PACU FFP Intake,38,38,0.0007462686567164179
229,OR Packed RBC Intake,OR Packed RBC Intake,4337,5005,0.08517282010997643
230,OR Packed RBC Intake,PACU Packed RBC Intake,173,175,0.0033974862529457975
231,OR Platelet Intake,OR Platelet Intake,1914,2155,0.03758837391987431
232,OR Platelet Intake,PACU Platelet Intake,22,23,0.00043205027494108407
233,Octreotide,Octreotide,1130,6098,0.022191673212882953
234,Omeprazole (Prilosec),Omeprazole (Prilosec),2132,3464,0.04186959937156324
235,Ondansetron (Zofran),Ondansetron (Zofran),1757,3124,0.03450510604870385
236,Optisource,Optisource,1,1,1.9638648860958365e-05
237,Osmolite 1.5 (Full),Osmolite 1.5 (Full),854,10973,0.016771406127258446
238,PACU PO Intake,PACU PO Intake,121,131,0.0023762765121759623
239,PACU PO Intake,PO Intake,39087,427642,0.7676158680282796
240,Packed Red Blood Cells,Packed Red Blood Cells,12944,52424,0.2542026708562451
241,Pamidronate,Pamidronate,9,10,0.00017674783974862528
242,Pantoprazole (Protonix),Pantoprazole (Protonix),12126,57706,0.23813825608798114
243,Penicillin G potassium,Penicillin G potassium,119,1827,0.0023369992144540454
244,Pentobarbital,Pentobarbital,65,768,0.0012765121759622938
245,Peptamen 1.5 (1/2),Peptamen 1.5 (1/2),4,35,7.855459544383346e-05
246,Peptamen 1.5 (1/2),Peptamen 1.5 (1/4),2,17,3.927729772191673e-05
247,Peptamen 1.5 (1/2),Peptamen 1.5 (3/4),2,60,3.927729772191673e-05
248,Peptamen 1.5 (1/2),Peptamen 1.5 (Full),161,2196,0.003161822466614297
249,Peptamen 1.5 (1/2),Peptamen Bariatric (Full),207,2669,0.004065200314218382
250,Peripheral Parenteral Nutrition,Peripheral Parenteral Nutrition,154,363,0.0030243519245875886
251,Phenylephrine,Phenylephrine,12113,190916,0.2378829536527887
252,Phenylephrine,Phenylephrine (200/250),216,7088,0.004241948153967007
253,Phenylephrine,Phenylephrine (50/250),1986,33528,0.03900235663786331
254,Piggyback,Piggyback,18933,93700,0.37181853888452476
255,Piperacillin,Piperacillin,2849,10855,0.055950510604870385
256,Piperacillin,Piperacillin/Tazobactam (Zosyn),7141,60435,0.14023959151610368
257,Plasma Pheresis,Plasma Pheresis,76,120,0.0014925373134328358
258,Platelets,Platelets,3512,10729,0.06897093479968579
259,Potassium Chloride,Potassium Chloride,23671,174716,0.4648664571877455
260,Pre-Admission/Non-ICU Intake,Pre-Admission/Non-ICU Intake,12459,15154,0.24467792615868028
261,ProBalance (Full),ProBalance (Full),36,382,0.0007069913589945011
262,Procainamide,Procainamide,24,165,0.0004713275726630008
263,Profilnine,Profilnine,7,7,0.00013747054202670856
264,Promote (Full),Promote (Full),817,10209,0.016044776119402984
265,Promote (Full),Promote with Fiber (Full),1079,11993,0.021190102120974077
266,Propofol,Propofol,21524,397062,0.4227022780832679
267,Protamine sulfate,Protamine sulfate,384,452,0.007541241162608013
268,Pulmocare (1/2),Pulmocare (1/2),1,2,1.9638648860958365e-05
269,Pulmocare (1/2),Pulmocare (1/4),1,1,1.9638648860958365e-05
270,Pulmocare (1/2),Pulmocare (Full),183,2284,0.003593872741555381
271,Pyrazinamide,Pyrazinamide,4,14,7.855459544383346e-05
272,Quinine,Quinine,8,20,0.00015710919088766692
273,Ranitidine,Ranitidine,6,45,0.0001178318931657502
274,Ranitidine,Ranitidine (Prophylaxis),3364,6254,0.06606441476826394
275,Replete (1/2),Replete (1/2),18,130,0.00035349567949725057
276,Replete (1/2),Replete (1/4),3,14,5.89159465828751e-05
277,Replete (1/2),Replete (2/3),4,38,7.855459544383346e-05
278,Replete (1/2),Replete (3/4),16,150,0.00031421838177533385
279,Replete (1/2),Replete (Full),347,3038,0.006814611154752553
280,Replete (1/2),Replete with Fiber (1/2),36,199,0.0007069913589945011
281,Replete (1/2),Replete with Fiber (1/4),10,59,0.00019638648860958367
282,Replete (1/2),Replete with Fiber (2/3),3,26,5.89159465828751e-05
283,Replete (1/2),Replete with Fiber (3/4),19,172,0.00037313432835820896
284,Replete (1/2),Replete with Fiber (Full),1593,19811,0.031284367635506675
285,Resource Fruit Beverage,Resource Fruit Beverage,2,4,3.927729772191673e-05
286,Rifampin,Rifampin,82,402,0.001610369206598586
287,Rocuronium,Rocuronium,790,2427,0.015514532600157109
288,Rocuronium,Vecuronium,451,722,0.008857030636292224
289,Shake,Chocolate Scandi Shake (mixed),2,4,3.927729772191673e-05
290,Shake,Mighty Shake (Chocolate),4,10,7.855459544383346e-05
291,Shake,Mighty Shake (Vanilla/Strawberry),10,19,0.00019638648860958367
292,Shake,Mighty Shake (no sugar added),10,20,0.00019638648860958367
293,Shake,Vanilla Lactose Free Scandi Shake (mixed),1,2,1.9638648860958365e-05
294,Sodium Acetate.,Sodium Acetate.,2,17,3.927729772191673e-05
295,Sodium Bicarbonate 8.4%,Sodium Bicarbonate 8.4%,2947,8397,0.0578750981932443
296,Sodium Bicarbonate 8.4%,Sodium Bicarbonate 8.4% (Amp),2066,4984,0.040573448546739985
297,Solution,Solution,31366,559181,0.6159858601728201
298,Sterile Water,Sterile Water,7035,71014,0.13815789473684212
299,TPN w/ Lipids,TPN w/ Lipids,879,6807,0.017262372348782404
300,TPN without Lipids,TPN without Lipids,1023,4393,0.02009033778476041
301,Tamiflu,Tamiflu,109,176,0.002140612725844462
302,Tirofiban (Aggrastat),Tirofiban (Aggrastat),142,186,0.002788688138256088
303,Tobramycin,Tobramycin,595,1644,0.011684996072270228
304,Treprostinil (Remodulin),Treprostinil (Remodulin),10,135,0.00019638648860958367
305,Two Cal HN (1/2),Two Cal HN (1/2),2,14,3.927729772191673e-05
306,Two Cal HN (1/2),Two Cal HN (Full),388,4924,0.007619795758051846
307,Vancomycin,Vancomycin,21227,122328,0.41686959937156326
308,Vasopressin,Vasopressin,3678,24669,0.07223095051060487
309,Verapamil,Verapamil,38,103,0.0007462686567164179
310,Vital 1.5 (Full),Vital 1.5 (Full),287,3761,0.005636292223095051
311,Vital High Protein (Full),Vital High Protein (Full),773,10129,0.015180675569520817
312,Vitamin K (Phytonadione),Vitamin K (Phytonadione),1607,2294,0.03155930871956009
313,Vivonex (1/2),Vivonex (1/2),4,26,7.855459544383346e-05
314,Vivonex (1/2),Vivonex (3/4),1,3,1.9638648860958365e-05
315,Vivonex (1/2),Vivonex (Full),158,2104,0.003102906520031422
316,XXXcyclovir,Acyclovir,1424,9744,0.027965435978004712
317,XXXcyclovir,Gancyclovir,87,614,0.0017085624509033778
318,XXXcyclovir,Valgancyclovir,58,91,0.0011390416339355852
319,XXXfloxacin,Ciprofloxacin,3921,17254,0.07700314218381775
320,XXXfloxacin,Levofloxacin,2449,5601,0.04809505106048704
321,XXXfloxacin,Moxifloxacin,8,23,0.00015710919088766692
