,ITEMID,LABEL,CATEGORY,MIN,MAX
517,225110,Recreational drug use,Adm History/FHPA,0.0,0.0
518,225112,Unable to assess pain,Adm History/FHPA,1.0,1.0
520,225117,Unable to assess nutrition / education,Adm History/FHPA,1.0,1.0
521,225118,Difficulty swallowing,Adm History/FHPA,0.0,0.0
523,225124,Unintentional weight loss >10 lbs.,Adm History/FHPA,0.0,0.0
524,225126,Dialysis patient,Adm History/FHPA,0.0,0.0
525,225129,Unable to assess teaching / learning needs,Adm History/FHPA,1.0,1.0
527,225175,See chart for initial patient assessment,Adm History/FHPA,1.0,1.0
528,225184,Eye Care,Treatments,1.0,1.0
529,225185,Skin Care,Treatments,1.0,1.0
530,225187,Back Care,Treatments,1.0,1.0
531,225188,Cough/Deep Breath,Treatments,1.0,1.0
532,225189,Incentive Spirometry,Treatments,1.0,1.0
535,225210,Arterial Line Zero/Calibrate,Access Lines - Invasive,1.0,1.0
536,225280,Called Out,General,1.0,1.0
540,225313,Bed Bath,Treatments,1.0,1.0
546,225637,Differential-Atyps,Labs,0.0,0.0
564,225722,Arterial Line Tip Cultured,Access Lines - Invasive,0.0,0.0
565,225729,Multi Lumen Line Tip Cultured,Access Lines - Invasive,0.0,0.0
569,226107,Arterial Line placed in outside facility,Access Lines - Invasive,0.0,0.0
570,226109,Cordis/Introducer placed in outside facility,Access Lines - Invasive,0.0,0.0
571,226113,Multi Lumen placed in outside facility,Access Lines - Invasive,0.0,0.0
572,226115,PICC Line placed in outside facility,Access Lines - Invasive,0.0,0.0
573,226136,16 Gauge placed in outside facility,Access Lines - Peripheral,0.0,0.0
574,226137,18 Gauge placed in outside facility,Access Lines - Peripheral,0.0,0.0
575,226138,20 Gauge placed in outside facility,Access Lines - Peripheral,0.0,0.0
576,226139,22 Gauge placed in outside facility,Access Lines - Peripheral,0.0,0.0
577,226169,Subglottal Suctioning,Treatments,1.0,1.0
578,226179,No wallet / money,Adm History/FHPA,1.0,1.0
579,226180,Sexuality / reproductive problems,Adm History/FHPA,0.0,0.0
580,226185,ICU Consent Signed,General,1.0,1.0
582,226253,SpO2 Desat Limit,Alarms,85.0,85.0
584,226473,Blood Transfusion Consent,General,1.0,1.0
592,226544,Language,ADT,1.0,1.0
597,226873,Inspiratory Ratio,Respiratory,1.0,1.0
598,226889,Legal Guardian,General,0.0,0.0
600,227130,Trach Care,Respiratory,1.0,1.0
602,227292,Arterial Line Dressing Occlusive,Access Lines - Invasive,1.0,1.0
603,227293,Multi Lumen Dressing Occlusive,Access Lines - Invasive,1.0,1.0
605,227342,Secondary diagnosis,Restraint/Support Systems,15.0,15.0
606,227343,Ambulatory aid,Restraint/Support Systems,0.0,0.0
607,227344,IV/Saline lock,Restraint/Support Systems,20.0,20.0
608,227345,Gait/Transferring,Restraint/Support Systems,0.0,0.0
610,227349,High risk (>51) interventions,Restraint/Support Systems,1.0,1.0
611,227350,Cordis/Introducer Dressing Occlusive,Access Lines - Invasive,1.0,1.0
612,227357,Dialysis Catheter Dressing Occlusive,Access Lines - Invasive,1.0,1.0
613,227358,PICC Line Dressing Occlusive,Access Lines - Invasive,1.0,1.0
614,227366,16 Gauge Dressing Occlusive,Access Lines - Peripheral,1.0,1.0
615,227367,18 Gauge Dressing Occlusive,Access Lines - Peripheral,1.0,1.0
616,227368,20 Gauge Dressing Occlusive,Access Lines - Peripheral,1.0,1.0
617,227369,22 Gauge Dressing Occlusive,Access Lines - Peripheral,1.0,1.0
639,227688,Smoking Cessation Info Offered through BIDMC Inpatient Guide,Adm History/FHPA,1.0,1.0
640,227801,Stool Guaiac QC,GI/GU,1.0,1.0
641,227802,GI Guaiac QC,GI/GU,1.0,1.0
642,227809,ETT Position Change,Respiratory,1.0,1.0
643,227810,ETT Re-taped,Respiratory,1.0,1.0
645,228098,16 Gauge placed in the field,Access Lines - Peripheral,0.0,0.0
646,228099,18 Gauge placed in the field,Access Lines - Peripheral,0.0,0.0
647,228100,20 Gauge placed in the field,Access Lines - Peripheral,0.0,0.0
648,228101,22 Gauge placed in the field,Access Lines - Peripheral,0.0,0.0
649,228137,CHG Bath,Treatments,1.0,1.0
650,228236,Insulin pump,Adm History/FHPA,0.0,0.0
651,228299,Goal Richmond-RAS Scale,Pain/Sedation,0.0,0.0
652,228305,ST Segment Monitoring On,Alarms,1.0,1.0
653,228334,CAM-ICU Altered LOC,Pain/Sedation,1.0,1.0
655,228337,CAM-ICU MS Change,Pain/Sedation,0.0,0.0
657,228344,"OCAT - Saliva secretions, Voice quality",Treatments,1.0,1.0
659,228346,OCAT - Teeth,Treatments,1.0,1.0
660,228394,Orientation to Person,Neurological,2.0,2.0
