,code,description,label,amountuom,derived_unit_normalization_factor,dose_impact
94,225913,Coumadin (Warfarin),Coumadin (Warfarin),mcg,1,N
95,225913,Coumadin (Warfarin),Coumadin (Warfarin),mg,1,N
96,225171,Cryoprecipitate,Cryoprecipitate,ml,1,Y
97,227534,Cyclosporine,Cyclosporine,mg,1,N
98,225823,D5 1/2NS,D5 1/2NS,L,1,Y
99,225823,D5 1/2NS,D5 1/2NS,ml,0.001,Y
100,225941,D5 1/4NS,D5 1/4NS,ml,0.001,Y
101,225827,D5LR,D5LR,ml,0.001,Y
102,225825,D5NS,D5NS,cm3,0.001,Y
103,225825,D5NS,D5NS,ml,0.001,Y
104,225863,Daptomycin,Daptomycin,dose,1,N
105,225863,Daptomycin,Daptomycin,mg,1,N
106,225150,Dexmedetomidine (Precedex),Dexmedetomidine (Precedex),mcg,1,N
107,225150,Dexmedetomidine (Precedex),Dexmedetomidine (Precedex),mg,1,N
108,229420,Dexmedetomidine (Precedex),Dexmedetomidine (Precedex),mcg,1,N
109,229420,Dexmedetomidine (Precedex),Dexmedetomidine (Precedex),mg,1,N
110,225795,Dextran 40,Dextran 40,ml,1,Y
111,220950,Dextrose 10%,Dextrose 10%,ml,1,Y
112,228140,Dextrose 20%,Dextrose 20%,ml,1,Y
113,228141,Dextrose 30%,Dextrose 30%,ml,1,Y
114,228142,Dextrose 40%,Dextrose 40%,ml,1,Y
115,220949,Dextrose 5%,Dextrose 5%,ml,1,Y
116,220952,Dextrose 50%,Dextrose 50%,ml,1,Y
117,225947,Dextrose PN,Dextrose PN,grams,1,Y
118,225947,Dextrose PN,Dextrose PN,pg,1,Y
119,221623,Diazepam (Valium),Diazepam (Valium),mg,1,N
120,229069,Digoxin (Lanoxin),Digoxin (Lanoxin),dose,1,N
121,229069,Digoxin (Lanoxin),Digoxin (Lanoxin),mcg,1,N
122,229069,Digoxin (Lanoxin),Digoxin (Lanoxin),mg,1,N
123,227689,Dilantin,Dilantin,grams,1,N
124,227689,Dilantin,Dilantin,mg,1,N
125,221468,Diltiazem,Diltiazem,mcg,1,N
126,221468,Diltiazem,Diltiazem,mg,1,N
127,221653,Dobutamine,Dobutamine,mg,1,N
128,221662,Dopamine,Dopamine,mg,1,N
129,221712,Ketamine,Ketamine,mg,1,N
130,225833,Thiamine,Thiamine,dose,1,N
131,225833,Thiamine,Thiamine,grams,1,N
132,225833,Thiamine,Thiamine,mg,1,N
133,225865,Doxycycline,Doxycycline,dose,1,N
134,225865,Doxycycline,Doxycycline,mg,1,N
135,229064,Tigecycline,Tigecycline,dose,1,N
136,229064,Tigecycline,Tigecycline,mg,1,N
137,221689,Drotrecogin (Xigris),Drotrecogin (Xigris),mg,1,N
138,228355,Enlive (Full),Enlive (Full),ml,1,N
139,225906,Enoxaparin (Lovenox),Enoxaparin (Lovenox),dose,1,N
140,225906,Enoxaparin (Lovenox),Enoxaparin (Lovenox),mcg,1,N
141,225906,Enoxaparin (Lovenox),Enoxaparin (Lovenox),mg,1,N
142,226875,Ensure (3/4),Ensure (3/4),ml,1,Y
143,225937,Ensure (Full),Ensure (Full),ml,1,Y
144,226877,Ensure Plus (Full),Ensure Plus (Full),ml,1,Y
145,221289,Epinephrine,Epinephrine,mcg,0.001,Y
146,221289,Epinephrine,Epinephrine,mg,1,Y
147,229617,Epinephrine.,Epinephrine.,mcg,0.001,Y
148,229617,Epinephrine.,Epinephrine.,mg,1,Y
149,229760,Epoprostenol (Veletri),Epoprostenol (Veletri),mg,1,N
150,225151,Eptifibatide (Integrilin),Eptifibatide (Integrilin),mg,1,N
151,229061,Ertapenem sodium (Invanz),Ertapenem sodium (Invanz),dose,1,N
152,229061,Ertapenem sodium (Invanz),Ertapenem sodium (Invanz),grams,1,N
153,221429,Esmolol,Esmolol,mcg,1,N
154,221429,Esmolol,Esmolol,mg,1,N
155,229615,Esomeprazole (Nexium),Esomeprazole (Nexium),dose,1,N
156,229615,Esomeprazole (Nexium),Esomeprazole (Nexium),mg,1,N
157,225868,Ethambutol,Ethambutol,dose,1,N
158,221733,Factor VIII,Factor VIII,International Units,1,N
159,221733,Factor VIII,Factor VIII,units,1,N
160,225914,Factor VIIa,Factor VIIa,dose,1,N
161,225914,Factor VIIa,Factor VIIa,mcg,1,N
162,225914,Factor VIIa,Factor VIIa,mg,1,N
163,225914,Factor VIIa,Factor VIIa,pg,1,N
164,225907,Famotidine (Pepcid),Famotidine (Pepcid),dose,1,N
165,225907,Famotidine (Pepcid),Famotidine (Pepcid),grams,1,N
166,225907,Famotidine (Pepcid),Famotidine (Pepcid),mg,1,N
167,221744,Fentanyl,Fentanyl,mcg,0.001,N
168,221744,Fentanyl,Fentanyl,mg,1,N
169,225942,Fentanyl (Concentrate),Fentanyl (Concentrate),mcg,0.001,N
170,225942,Fentanyl (Concentrate),Fentanyl (Concentrate),mg,1,N
171,229574,Fiber Supplement (i.e. Banana Flakes),Fiber Supplement (i.e. Banana Flakes),ml,1,N
172,227698,Fibersource HN (1/2),Fibersource HN (1/2),ml,1,Y
173,227699,Fibersource HN (1/4),Fibersource HN (1/4),ml,1,Y
174,227696,Fibersource HN (3/4),Fibersource HN (3/4),ml,1,Y
175,227695,Fibersource HN (Full),Fibersource HN (Full),ml,1,Y
176,225869,Fluconazole,Fluconazole,dose,1,N
177,225869,Fluconazole,Fluconazole,mg,1,N
178,225905,Voriconazole,Voriconazole,dose,1,N
179,225905,Voriconazole,Voriconazole,mg,1,N
180,225832,Folic Acid,Folic Acid,dose,1,N
181,225832,Folic Acid,Folic Acid,grams,1,N
182,225832,Folic Acid,Folic Acid,mg,1,N
183,225908,Fondaparinux,Fondaparinux,dose,1,N
184,225871,Foscarnet,Foscarnet,dose,1,N
185,227690,Fosphenytoin,Fosphenytoin,dose,1,N
186,227690,Fosphenytoin,Fosphenytoin,grams,1,N
187,227690,Fosphenytoin,Fosphenytoin,mg,1,N
188,225797,Free Water,Free Water,ml,1,Y
189,220970,Fresh Frozen Plasma,Fresh Frozen Plasma,ml,1,Y
190,221794,Furosemide (Lasix),Furosemide (Lasix),dose,40,Y
191,221794,Furosemide (Lasix),Furosemide (Lasix),mg,1,Y
192,228340,Furosemide (Lasix) 250/50,Furosemide (Lasix) 250/50,mg,1,Y
193,226453,GT Flush,GT Flush,cm3,1,N
194,226453,GT Flush,GT Flush,ml,1,N
195,225799,Gastric Meds,Gastric Meds,L,1,N
196,225799,Gastric Meds,Gastric Meds,ml,1,N
197,225875,Gentamicin,Gentamicin,dose,1,N
198,225875,Gentamicin,Gentamicin,mg,1,N
199,228356,Glucerna (1/2),Glucerna (1/2),ml,1,Y
200,228359,Glucerna (Full),Glucerna (Full),ml,1,Y
201,229013,Glucerna 1.2 (Full),Glucerna 1.2 (Full),ml,1,Y
202,229295,Glucerna 1.5 (Full),Glucerna 1.5 (Full),ml,1,Y
203,229070,Glycopyrolate (Robinul),Glycopyrolate (Robinul),dose,1,N
204,229070,Glycopyrolate (Robinul),Glycopyrolate (Robinul),mcg,1,N
205,229070,Glycopyrolate (Robinul),Glycopyrolate (Robinul),mg,1,N
206,221824,Haloperidol (Haldol),Haloperidol (Haldol),mg,1,N
207,225152,Heparin Sodium,Heparin Sodium,units,1,N
208,229597,Heparin Sodium (Impella),Heparin Sodium (Impella),units,1,N
209,225975,Heparin Sodium (Prophylaxis),Heparin Sodium (Prophylaxis),dose,1,N
210,225975,Heparin Sodium (Prophylaxis),Heparin Sodium (Prophylaxis),mg,1,N
211,225174,Hetastarch (Hespan) 6%,Hetastarch (Hespan) 6%,ml,1,Y
212,221828,Hydralazine,Hydralazine,mg,1,N
213,225167,Hydrochloric Acid - HCL,Hydrochloric Acid - HCL,mEq,1,N
214,221833,Hydromorphone (Dilaudid),Hydromorphone (Dilaudid),dose,1,N
215,221833,Hydromorphone (Dilaudid),Hydromorphone (Dilaudid),mcg,1,N
216,221833,Hydromorphone (Dilaudid),Hydromorphone (Dilaudid),mg,1,N
217,227530,IV Immune Globulin (IVIG),IV Immune Globulin (IVIG),ml,1,N
218,225876,Imipenem/Cilastatin,Imipenem/Cilastatin,dose,1,N
219,225876,Imipenem/Cilastatin,Imipenem/Cilastatin,mg,1,N
220,226023,Impact (1/2),Impact (1/2),ml,1,Y
221,226020,Impact (1/4),Impact (1/4),ml,1,Y
222,226022,Impact (3/4),Impact (3/4),ml,1,Y
223,221207,Impact (Full),Impact (Full),ml,1,Y
224,226027,Impact with Fiber (1/2),Impact with Fiber (1/2),ml,1,Y
225,226024,Impact with Fiber (1/4),Impact with Fiber (1/4),ml,1,Y
226,226026,Impact with Fiber (3/4),Impact with Fiber (3/4),ml,1,Y
227,225928,Impact with Fiber (Full),Impact with Fiber (Full),ml,1,Y
228,223257,Insulin - 70/30,Insulin - 70/30,units,1,Y
229,223260,Insulin - Glargine,Insulin - Glargine,units,1,Y
230,223262,Insulin - Humalog,Insulin - Humalog,units,1,Y
231,223261,Insulin - Humalog 75/25,Insulin - Humalog 75/25,units,1,Y
232,223259,Insulin - NPH,Insulin - NPH,units,1,Y
233,229299,Insulin - Novolog,Insulin - Novolog,units,1,Y
234,223258,Insulin - Regular,Insulin - Regular,units,1,Y
235,229619,Insulin - U500,Insulin - U500,units,1,Y
236,225877,Isoniazid,Isoniazid,dose,1,N
237,228131,Isosource 1.5 (1/2),Isosource 1.5 (1/2),ml,1,Y
238,228132,Isosource 1.5 (1/4),Isosource 1.5 (1/4),ml,1,Y
239,228133,Isosource 1.5 (2/3),Isosource 1.5 (2/3),ml,1,Y
240,228134,Isosource 1.5 (3/4),Isosource 1.5 (3/4),ml,1,Y
241,228135,Isosource 1.5 (Full),Isosource 1.5 (Full),ml,1,Y
242,227692,Isuprel,Isuprel,mg,1,N
243,229010,Jevity 1.2 (Full),Jevity 1.2 (Full),ml,1,Y
244,229011,Jevity 1.5 (Full),Jevity 1.5 (Full),ml,1,Y
245,225834,K Phos,K Phos,mmol,1,Y
246,225835,Na Phos,Na Phos,mmol,1,Y
247,227522,KCL (Bolus),KCL (Bolus),ml,1,Y
248,227536,KCl (CRRT),KCl (CRRT),mEq.,1,Y
249,227536,KCl (CRRT),KCl (CRRT),ml/hr,1,Y
250,227691,Keflex,Keflex,dose,1,N
251,227691,Keflex,Keflex,mg,1,N
252,229072,Ketorolac (Toradol),Ketorolac (Toradol),mg,1,N
253,225828,LR,LR,L,1,Y
254,225828,LR,LR,ml,0.001,Y
255,225153,Labetalol,Labetalol,dose,1,N
256,225153,Labetalol,Labetalol,mg,1,N
257,225909,Lansoprazole (Prevacid),Lansoprazole (Prevacid),dose,1,N
258,225909,Lansoprazole (Prevacid),Lansoprazole (Prevacid),mg,1,N
259,221892,Lepirudin,Lepirudin,mg,1,N
260,228316,Levetiracetam (Keppra),Levetiracetam (Keppra),dose,1,N
261,228316,Levetiracetam (Keppra),Levetiracetam (Keppra),grams,1,N
262,228316,Levetiracetam (Keppra),Levetiracetam (Keppra),mg,1,N
263,225945,Lidocaine,Lidocaine,mg,1,N
264,225881,Linezolid,Linezolid,dose,1,N
265,225881,Linezolid,Linezolid,mg,1,N
266,225969,Lipids (additive),Lipids (additive),grams,1,N
267,227090,Lipids 10%,Lipids 10%,ml,1,N
268,225801,Lipids 20%,Lipids 20%,ml,1,N
269,221385,Lorazepam (Ativan),Lorazepam (Ativan),mg,1,N
270,222011,Magnesium Sulfate,Magnesium Sulfate,dose,1,N
271,222011,Magnesium Sulfate,Magnesium Sulfate,grams,1,N
272,222011,Magnesium Sulfate,Magnesium Sulfate,mg,1,N
273,227523,Magnesium Sulfate (Bolus),Magnesium Sulfate (Bolus),ml,1,N
274,227524,Magnesium Sulfate (OB-GYN),Magnesium Sulfate (OB-GYN),grams,1,N
275,227531,Mannitol,Mannitol,grams,1,N
276,227531,Mannitol,Mannitol,mg,1,N
277,225973,Meperidine (Demerol),Meperidine (Demerol),mg,1,N
278,225883,Meropenem,Meropenem,dose,1,N
279,225883,Meropenem,Meropenem,grams,1,N
280,225883,Meropenem,Meropenem,mg,1,N
281,227520,Methadone Hydrochloride,Methadone Hydrochloride,mg,1,N
282,225974,Metoprolol,Metoprolol,mcg,1,N
283,225974,Metoprolol,Metoprolol,mg,1,N
284,225884,Metronidazole,Metronidazole,dose,1,N
285,225884,Metronidazole,Metronidazole,grams,1,N
286,225884,Metronidazole,Metronidazole,mcg,1,N
287,225884,Metronidazole,Metronidazole,mg,1,N
288,225885,Micafungin,Micafungin,dose,1,N
289,225885,Micafungin,Micafungin,mcg,1,N
290,225885,Micafungin,Micafungin,mg,1,N
291,221668,Midazolam (Versed),Midazolam (Versed),mg,1,N
292,221986,Milrinone,Milrinone,mg,1,N
293,225154,Morphine Sulfate,Morphine Sulfate,mg,1,N
294,225830,Multivitamins,Multivitamins,ml,1,N
295,225830,Multivitamins,Multivitamins,mm^3,1,N
296,229062,Mycophenolate mofetil (Cellcept),Mycophenolate mofetil (Cellcept),mg,1,N
297,225159,NaCl 0.45%,NaCl 0.45%,ml,0.001,Y
298,225158,NaCl 0.9%,NaCl 0.9%,L,1,Y
299,225158,NaCl 0.9%,NaCl 0.9%,ml,0.001,Y
300,228341,NaCl 23.4%,NaCl 23.4%,ml,0.001,Y
301,225161,NaCl 3% (Hypertonic Saline),NaCl 3% (Hypertonic Saline),ml,0.001,Y
302,225888,Nafcillin,Nafcillin,dose,1,N
303,225888,Nafcillin,Nafcillin,grams,1,N
304,225888,Nafcillin,Nafcillin,mcg,1,N
305,225888,Nafcillin,Nafcillin,mg,1,N
306,222021,Naloxone (Narcan),Naloxone (Narcan),dose,1,N
307,222021,Naloxone (Narcan),Naloxone (Narcan),mcg,1,N
308,222021,Naloxone (Narcan),Naloxone (Narcan),mg,1,N
309,229071,Neostigmine (Prostigmin),Neostigmine (Prostigmin),mg,1,N
310,228348,Nepro (1/2),Nepro (1/2),ml,1,Y
311,228351,Nepro (Full),Nepro (Full),ml,1,Y
312,222037,Nesiritide,Nesiritide,mg,1,N
313,222042,Nicardipine,Nicardipine,mg,1,N
314,229624,Nicardipine 40mg/200,Nicardipine 40mg/200,mg,1,N
315,222056,Nitroglycerin,Nitroglycerin,mg,1,N
316,222051,Nitroprusside,Nitroprusside,mg,1,N
317,221906,Norepinephrine,Norepinephrine,mg,1,Y
318,227973,NovaSource Renal (1/2),NovaSource Renal (1/2),ml,1,Y
319,227974,NovaSource Renal (3/4),NovaSource Renal (3/4),ml,1,Y
320,227975,NovaSource Renal (Full),NovaSource Renal (Full),ml,1,Y
321,226019,Nutren 2.0 (1/2),Nutren 2.0 (1/2),ml,1,Y
322,226016,Nutren 2.0 (1/4),Nutren 2.0 (1/4),ml,1,Y
323,226017,Nutren 2.0 (2/3),Nutren 2.0 (2/3),ml,1,Y
324,227518,Nutren 2.0 (3/4),Nutren 2.0 (3/4),ml,1,Y
325,225931,Nutren 2.0 (Full),Nutren 2.0 (Full),ml,1,Y
326,226882,Nutren Pulmonary (1/2),Nutren Pulmonary (1/2),ml,1,Y
327,226881,Nutren Pulmonary (3/4),Nutren Pulmonary (3/4),ml,1,Y
328,226880,Nutren Pulmonary (Full),Nutren Pulmonary (Full),ml,1,Y
329,226031,Nutren Renal (1/2),Nutren Renal (1/2),ml,1,Y
330,226028,Nutren Renal (1/4),Nutren Renal (1/4),ml,1,Y
331,226030,Nutren Renal (3/4),Nutren Renal (3/4),ml,1,Y
332,221036,Nutren Renal (Full),Nutren Renal (Full),ml,1,Y
333,226370,OR Autologous Blood Intake,OR Autologous Blood Intake,ml,1,Y
334,226372,OR Cell Saver Intake,OR Cell Saver Intake,ml,1,Y
335,226365,OR Colloid Intake,OR Colloid Intake,ml,1,Y
336,226376,PACU Colloid Intake,PACU Colloid Intake,ml,1,Y
337,226371,OR Cryoprecipitate Intake,OR Cryoprecipitate Intake,ml,1,Y
338,226364,OR Crystalloid Intake,OR Crystalloid Intake,L,1,Y
339,226364,OR Crystalloid Intake,OR Crystalloid Intake,ml,0.001,Y
340,226375,PACU Crystalloid Intake,PACU Crystalloid Intake,L,1,Y
341,226375,PACU Crystalloid Intake,PACU Crystalloid Intake,ml,0.001,Y
342,226367,OR FFP Intake,OR FFP Intake,L,1,Y
343,226367,OR FFP Intake,OR FFP Intake,ml,0.001,Y
344,226367,OR FFP Intake,OR FFP Intake,uL,1,Y
345,227072,PACU FFP Intake,PACU FFP Intake,ml,0.001,Y
346,226368,OR Packed RBC Intake,OR Packed RBC Intake,ml,0.001,Y
347,226368,OR Packed RBC Intake,OR Packed RBC Intake,uL,1,Y
348,227070,PACU Packed RBC Intake,PACU Packed RBC Intake,ml,0.001,Y
349,226369,OR Platelet Intake,OR Platelet Intake,ml,1,Y
350,227071,PACU Platelet Intake,PACU Platelet Intake,ml,1,Y
351,225155,Octreotide,Octreotide,mcg,1,N
352,225155,Octreotide,Octreotide,mg,1,N
353,227694,Omeprazole (Prilosec),Omeprazole (Prilosec),dose,1,N
354,227694,Omeprazole (Prilosec),Omeprazole (Prilosec),mg,1,N
355,229616,Ondansetron (Zofran),Ondansetron (Zofran),grams,1,N
356,229616,Ondansetron (Zofran),Ondansetron (Zofran),mg,1,N
357,225993,Optisource,Optisource,ounces,1,N
358,229297,Osmolite 1.5 (Full),Osmolite 1.5 (Full),ml,1,Y
359,226377,PACU PO Intake,PACU PO Intake,ml,1,Y
360,226452,PO Intake,PO Intake,L,1,Y
361,226452,PO Intake,PO Intake,ml,0.001,Y
362,226452,PO Intake,PO Intake,pL,0.001,Y
363,225168,Packed Red Blood Cells,Packed Red Blood Cells,ml,1,Y
364,229063,Pamidronate,Pamidronate,mg,1,N
365,225910,Pantoprazole (Protonix),Pantoprazole (Protonix),dose,1,N
366,225910,Pantoprazole (Protonix),Pantoprazole (Protonix),mcg,1,N
367,225910,Pantoprazole (Protonix),Pantoprazole (Protonix),mg,1,N
368,225890,Penicillin G potassium,Penicillin G potassium,dose,1,N
369,225890,Penicillin G potassium,Penicillin G potassium,mg,1,N
370,225156,Pentobarbital,Pentobarbital,mg,1,N
371,226039,Peptamen 1.5 (1/2),Peptamen 1.5 (1/2),ml,1,Y
372,226036,Peptamen 1.5 (1/4),Peptamen 1.5 (1/4),ml,1,Y
373,226038,Peptamen 1.5 (3/4),Peptamen 1.5 (3/4),ml,1,Y
374,225930,Peptamen 1.5 (Full),Peptamen 1.5 (Full),ml,1,Y
375,228383,Peptamen Bariatric (Full),Peptamen Bariatric (Full),ml,1,Y
376,225920,Peripheral Parenteral Nutrition,Peripheral Parenteral Nutrition,ml,1,Y
377,221749,Phenylephrine,Phenylephrine,mg,1,Y
378,229632,Phenylephrine (200/250),Phenylephrine (200/250),mg,1,Y
379,229630,Phenylephrine (50/250),Phenylephrine (50/250),mg,1,Y
380,225892,Piperacillin,Piperacillin,dose,1,N
381,225892,Piperacillin,Piperacillin,grams,1,N
382,225892,Piperacillin,Piperacillin,mg,1,N
383,225893,Piperacillin/Tazobactam (Zosyn),Piperacillin/Tazobactam (Zosyn),dose,1,N
384,225893,Piperacillin/Tazobactam (Zosyn),Piperacillin/Tazobactam (Zosyn),grams,1,N
385,225893,Piperacillin/Tazobactam (Zosyn),Piperacillin/Tazobactam (Zosyn),mg,1,N
386,227532,Plasma Pheresis,Plasma Pheresis,ml,1,Y
387,225170,Platelets,Platelets,ml,1,Y
388,225166,Potassium Chloride,Potassium Chloride,mEq,1,Y
389,225166,Potassium Chloride,Potassium Chloride,nMol/ml/min,1,Y
390,225929,ProBalance (Full),ProBalance (Full),ml,1,Y
391,222151,Procainamide,Procainamide,mg,1,N
392,225915,Profilnine,Profilnine,units,1,N
393,229009,Promote (Full),Promote (Full),ml,0.001,Y
394,229014,Promote with Fiber (Full),Promote with Fiber (Full),L,1,Y
395,229014,Promote with Fiber (Full),Promote with Fiber (Full),ml,0.001,Y
396,222168,Propofol,Propofol,mcg,1,N
397,222168,Propofol,Propofol,mg,1,N
398,229068,Protamine sulfate,Protamine sulfate,mg,1,N
399,228360,Pulmocare (1/2),Pulmocare (1/2),ml,1,Y
400,228361,Pulmocare (1/4),Pulmocare (1/4),ml,1,Y
401,228363,Pulmocare (Full),Pulmocare (Full),ml,1,Y
402,225895,Pyrazinamide,Pyrazinamide,dose,1,N
403,225896,Quinine,Quinine,dose,1,N
404,222190,Ranitidine,Ranitidine,mg,1,N
405,225911,Ranitidine (Prophylaxis),Ranitidine (Prophylaxis),dose,1,N
406,225911,Ranitidine (Prophylaxis),Ranitidine (Prophylaxis),mg,1,N
407,226047,Replete (1/2),Replete (1/2),ml,1,Y
408,226044,Replete (1/4),Replete (1/4),ml,1,Y
409,226045,Replete (2/3),Replete (2/3),ml,1,Y
410,226046,Replete (3/4),Replete (3/4),ml,1,Y
411,225935,Replete (Full),Replete (Full),ml,1,Y
412,226051,Replete with Fiber (1/2),Replete with Fiber (1/2),ml,1,Y
413,226048,Replete with Fiber (1/4),Replete with Fiber (1/4),ml,1,Y
414,226049,Replete with Fiber (2/3),Replete with Fiber (2/3),ml,1,Y
415,226050,Replete with Fiber (3/4),Replete with Fiber (3/4),ml,1,Y
416,225936,Replete with Fiber (Full),Replete with Fiber (Full),ml,1,Y
417,225991,Resource Fruit Beverage,Resource Fruit Beverage,ml,1,Y
418,225898,Rifampin,Rifampin,dose,1,N
419,225898,Rifampin,Rifampin,mg,1,N
420,229233,Rocuronium,Rocuronium,mg,1,N
421,222062,Vecuronium,Vecuronium,mg,1,N
422,226000,Chocolate Scandi Shake (mixed),Chocolate Scandi Shake (mixed),ml,1,Y
423,225995,Mighty Shake (Chocolate),Mighty Shake (Chocolate),ml,1,Y
424,225994,Mighty Shake (Vanilla/Strawberry),Mighty Shake (Vanilla/Strawberry),ml,1,Y
425,225996,Mighty Shake (no sugar added),Mighty Shake (no sugar added),ml,1,Y
426,226002,Vanilla Lactose Free Scandi Shake (mixed),Vanilla Lactose Free Scandi Shake (mixed),ml,1,Y
