NOTE: NEW CODES ARE INTRODUCED IN OCTOBER AND OLD CODES ARE PHASED OUT IN SEPTEMBER.
'ICD-9-CM CODE','CCS CATEGORY','CCS CATEGORY DESCRIPTION','ICD-9-CM CODE DESCRIPTION'
'0302 ','3  ','Laminectomy      ',"REOPEN LAMINECTOMY SITE"
'0309 ','3  ','Laminectomy      ',"SPINAL CANAL EXPLOR NEC"
'805  ','3  ','Laminectomy      ',"EXCIS DESTR VERTEB DISC (Begin 1980 End 1986)"
'8050 ','3  ','Laminectomy      ',"EXC/DEST INTVRT DISC NOS (Begin 1986)"
'8051 ','3  ','Laminectomy      ',"EXCISION INTERVERT DISC (Begin 1986)"
'8059 ','3  ','Laminectomy      ',"OTH EXC/DEST INTVRT DISC (Begin 1986)"
'8459 ','3  ','Laminectomy      ',"INSERT OTHR SPIN DEVICE (Begin 2004)"
'8460 ','3  ','Laminectomy      ',"INSERT DISC PROS NOS (Begin 2004)"
'8461 ','3  ','Laminectomy      ',"INS PART DISC PROS CERV (Begin 2004)"
'8462 ','3  ','Laminectomy      ',"INS TOT DISC PROST CERV (Begin 2004)"
'8463 ','3  ','Laminectomy      ',"INS SPIN DISC PROS THOR (Begin 2004)"
'8464 ','3  ','Laminectomy      ',"INS PART DISC PROS LUMB (Begin 2004)"
'8465 ','3  ','Laminectomy      ',"INS TOTL DISC PROS LUMB (Begin 2004)"
'8466 ','3  ','Laminectomy      ',"REVISE DISC PROST CERV (Begin 2004)"
'8467 ','3  ','Laminectomy      ',"REVISE DISC PROST THORA (Begin 2004)"
'8468 ','3  ','Laminectomy      ',"REVISE DSIC PROSTH LUMB (Begin 2004)"
'8469 ','3  ','Laminectomy      ',"REVISE DISC PROSTH NOS (Begin 2004)"
'8480 ','3  ','Laminectomy      ',"INS/REPL INTERSPINE DEV (Begin 2007)"
'8481 ','3  ','Laminectomy      ',"REV INTERSPINE DEVICE (Begin 2007)"
'8482 ','3  ','Laminectomy      ',"INS/REPL PDCL STABIL DEV (Begin 2007)"
'8483 ','3  ','Laminectomy      ',"REV PEDCL DYN STABIL DEV (Begin 2007)"
'8484 ','3  ','Laminectomy      ',"INS/REPL FACET REPLC DEV (Begin 2007)"
'8485 ','3  ','Laminectomy      ',"REV FACET REPLACE DEVICE (Begin 2007)"
'0331 ','4  ','Dx spinaltap     ',"SPINAL TAP"
'038  ','5  ','Inject spine     ',"DESTR INJECT-SPINE CANAL"
'0390 ','5  ','Inject spine     ',"INSERT SPINAL CANAL CATH (Begin 1987)"
'0391 ','5  ','Inject spine     ',"ANESTH INJECT-SPIN CANAL"
'0392 ','5  ','Inject spine     ',"SPINAL CANAL INJECT NEC"
'0393 ','5  ','Inject spine     ',"INSERT SPINAL STIMULATOR"
'0394 ','5  ','Inject spine     ',"REMOVE SPINAL STIMULATOR"
'0443 ','6  ','Decomp nerve     ',"CARPAL TUNNEL RELEASE"
'0444 ','6  ','Decomp nerve     ',"TARSAL TUNNEL RELEASE"
'0449 ','6  ','Decomp nerve     ',"PER NERVE ADHESIOLYS NEC"
'0111 ','7  ','Ot Dx nerv       ',"CLOS CEREB MENINGES BX"
'0112 ','7  ','Ot Dx nerv       ',"OPEN CEREB MENINGES BX"
'0113 ','7  ','Ot Dx nerv       ',"CLOSED BRAIN BIOPSY"
'0114 ','7  ','Ot Dx nerv       ',"OPEN BRAIN BIOPSY"
'0115 ','7  ','Ot Dx nerv       ',"SKULL BIOPSY"
'0118 ','7  ','Ot Dx nerv       ',"OTHER BRAIN DX PROCEDURE"
'0119 ','7  ','Ot Dx nerv       ',"OTHER SKULL DX PROCEDURE"
'0332 ','7  ','Ot Dx nerv       ',"SPINAL CORD/MENINGES BX"
'0339 ','7  ','Ot Dx nerv       ',"OTHER SPINAL DX PROC"
'0411 ','7  ','Ot Dx nerv       ',"CLOS PERIPH NERVE BIOPSY"
'0412 ','7  ','Ot Dx nerv       ',"OPEN PERIPH NERVE BIOPSY"
'0419 ','7  ','Ot Dx nerv       ',"PERIPH NERVE DX PROC NEC"
'0511 ','7  ','Ot Dx nerv       ',"SYMPATHETIC NERVE BIOPSY"
'0519 ','7  ','Ot Dx nerv       ',"SYMPATH NRV DX PROC NEC"
'0102 ','8  ','Ot nOR nerv      ',"VENTRICL SHUNT TUBE PUNC"
'0241 ','8  ','Ot nOR nerv      ',"IRRIGATE VENTRICLE SHUNT"
'0295 ','8  ','Ot nOR nerv      ',"REMOVE SKULL TONGS"
'0321 ','8  ','Ot nOR nerv      ',"PERCUTANEOUS CHORDOTOMY"
'0395 ','8  ','Ot nOR nerv      ',"SPINAL PATCH"
'0396 ','8  ','Ot nOR nerv      ',"PERCUTAN FACET DENERVAT"
'0480 ','8  ','Ot nOR nerv      ',"PERIPH NERVE INJECT NOS"
'0481 ','8  ','Ot nOR nerv      ',"ANESTH INJEC PERIPH NERV"
'0489 ','8  ','Ot nOR nerv      ',"PERIPH NERVE INJECT NEC"
'0531 ','8  ','Ot nOR nerv      ',"ANESTH INJECT SYMP NERVE"
'0532 ','8  ','Ot nOR nerv      ',"NEUROLYT INJEC-SYMP NRV"
'0539 ','8  ','Ot nOR nerv      ',"SYMPATH NERVE INJECT NEC"
'0120 ','9  ','Ot OR nerv       ',"Imp/repl brain pulse gen (Begin 2010)"
'0129 ','9  ','Ot OR nerv       ',"Rem brain pulse generatr (Begin 2010)"
'016  ','9  ','Ot OR nerv       ',"EXCISE SKULL LESION"
'0201 ','9  ','Ot OR nerv       ',"LINEAR CRANIECTOMY"
'0202 ','9  ','Ot OR nerv       ',"ELEVATE SKULL FX FRAGMNT"
'0203 ','9  ','Ot OR nerv       ',"SKULL FLAP FORMATION"
'0204 ','9  ','Ot OR nerv       ',"BONE GRAFT TO SKULL"
'0205 ','9  ','Ot OR nerv       ',"SKULL PLATE INSERTION"
'0206 ','9  ','Ot OR nerv       ',"CRANIAL OSTEOPLASTY NEC"
'0207 ','9  ','Ot OR nerv       ',"SKULL PLATE REMOVAL"
'0211 ','9  ','Ot OR nerv       ',"SIMPLE SUTURE OF DURA"
'0212 ','9  ','Ot OR nerv       ',"BRAIN MENINGE REPAIR NEC"
'0213 ','9  ','Ot OR nerv       ',"MENINGE VESSEL LIGATION"
'0214 ','9  ','Ot OR nerv       ',"CHOROID PLEXECTOMY"
'022  ','9  ','Ot OR nerv       ',"VENTRICULOSTOMY (end 2011)"
'0221 ','9  ','Ot OR nerv       ',"Insert/replace EVD (Begin 2011)"
'0222 ','9  ','Ot OR nerv       ',"Intrcran vent shunt/anas (Begin 2011)"
'0291 ','9  ','Ot OR nerv       ',"LYSIS CORTICAL ADHESION"
'0292 ','9  ','Ot OR nerv       ',"BRAIN REPAIR"
'0293 ','9  ','Ot OR nerv       ',"IMPLANT BRAIN STIMULATOR"
'0294 ','9  ','Ot OR nerv       ',"INSERT/REPLAC SKULL TONG"
'0296 ','9  ','Ot OR nerv       ',"INSERT SPHENOIDAL ELECTD (Begin 1992)"
'0299 ','9  ','Ot OR nerv       ',"SKULL & BRAIN OP NEC"
'0301 ','9  ','Ot OR nerv       ',"REMOVAL FB SPINAL CANAL"
'031  ','9  ','Ot OR nerv       ',"INTRASPIN NERVE ROOT DIV"
'0329 ','9  ','Ot OR nerv       ',"OTHER CHORDOTOMY"
'034  ','9  ','Ot OR nerv       ',"EXCIS SPINAL CORD LESION"
'0351 ','9  ','Ot OR nerv       ',"SPINE MENINGOCELE REPAIR"
'0352 ','9  ','Ot OR nerv       ',"MYELOMENINGOCEL REPAIR"
'0353 ','9  ','Ot OR nerv       ',"VERTEBRAL FX REPAIR"
'0359 ','9  ','Ot OR nerv       ',"SPINAL STRUCT REPAIR NEC"
'036  ','9  ','Ot OR nerv       ',"SPINAL CORD ADHESIOLYSIS"
'0371 ','9  ','Ot OR nerv       ',"SUBARACH-PERITON SHUNT"
'0372 ','9  ','Ot OR nerv       ',"SUBARACH-URETERAL SHUNT"
'0379 ','9  ','Ot OR nerv       ',"OTH SPINAL THECAL SHUNT"
'0397 ','9  ','Ot OR nerv       ',"REVISE SPINE THECA SHUNT"
'0398 ','9  ','Ot OR nerv       ',"REMOVE SPINE THECA SHUNT"
'0399 ','9  ','Ot OR nerv       ',"SPINE CANAL STRUC OP NEC"
'0401 ','9  ','Ot OR nerv       ',"ACOUSTIC NEUROTOMY"
'0402 ','9  ','Ot OR nerv       ',"TRIGEMINAL NERV DIVISION"
'0403 ','9  ','Ot OR nerv       ',"PERIPH NERVE DIV NEC"
'0404 ','9  ','Ot OR nerv       ',"PERIPH NERVE INCIS NEC"
'0405 ','9  ','Ot OR nerv       ',"GASSERIAN GANGLIONECTOMY"
'0406 ','9  ','Ot OR nerv       ',"PERIPH GANGLIONECT NEC"
'0407 ','9  ','Ot OR nerv       ',"PERIPH NERV EXCISION NEC"
'042  ','9  ','Ot OR nerv       ',"PERIPH NERVE DESTRUCTION"
'043  ','9  ','Ot OR nerv       ',"PERIPHERAL NERVE SUTURE"
'0441 ','9  ','Ot OR nerv       ',"DECOMPRESS TRIGEM ROOT"
'0442 ','9  ','Ot OR nerv       ',"CRAN NERV ROOT DECOM NEC"
'045  ','9  ','Ot OR nerv       ',"PERIPHERAL NERVE GRAFT"
'046  ','9  ','Ot OR nerv       ',"PERIPH NERVE TRANSPOSIT"
'0471 ','9  ','Ot OR nerv       ',"HYPOGLOSS-FACIAL ANASTOM"
'0472 ','9  ','Ot OR nerv       ',"ACCESSORY-FACIAL ANASTOM"
'0473 ','9  ','Ot OR nerv       ',"ACCESS-HYPOGLOSS ANASTOM"
'0474 ','9  ','Ot OR nerv       ',"PERIPH NERV ANASTOM NEC"
'0475 ','9  ','Ot OR nerv       ',"POSTOP REVIS PER NERV OP"
'0476 ','9  ','Ot OR nerv       ',"LATE REPAIR PER NERV INJ"
'0479 ','9  ','Ot OR nerv       ',"OTHER NEUROPLASTY"
'0491 ','9  ','Ot OR nerv       ',"NEURECTASIS"
'0492 ','9  ','Ot OR nerv       ',"IMPLANT PERIPH STIMULAT"
'0493 ','9  ','Ot OR nerv       ',"REMOVE PERIPH STIMULATOR"
'0499 ','9  ','Ot OR nerv       ',"PERIPHERAL NERVE OPS NEC"
'050  ','9  ','Ot OR nerv       ',"SYMPATH NERVE DIVISION"
'0521 ','9  ','Ot OR nerv       ',"SPHENOPALATIN GANGLIONEC"
'0522 ','9  ','Ot OR nerv       ',"CERVICAL SYMPATHECTOMY"
'0523 ','9  ','Ot OR nerv       ',"LUMBAR SYMPATHECTOMY"
'0524 ','9  ','Ot OR nerv       ',"PRESACRAL SYMPATHECTOMY"
'0525 ','9  ','Ot OR nerv       ',"PERIART SYMPATHECT (Begin 1995)"
'0529 ','9  ','Ot OR nerv       ',"OTHER SYMPATHECTOMY"
'0581 ','9  ','Ot OR nerv       ',"SYMPATHETIC NERVE REPAIR"
'0589 ','9  ','Ot OR nerv       ',"SYMPATHETIC NERVE OP NEC"
'059  ','9  ','Ot OR nerv       ',"OTHER NERVOUS SYSTEM OPS"
'1761 ','9  ','Ot OR nerv       ',"LITT lesn brain"
'8053 ','9  ','Ot OR nerv       ',"REP ANULUS FIBROSUS-GRFT (Begin 2008)"
'8054 ','9  ','Ot OR nerv       ',"REP ANULS FIBROS NEC/NOS (Begin 2008)"
'8458 ','9  ','Ot OR nervy      ',"IMP INTRSPINE DECOMP DEV (Begin 2005) (End 2007)"
'8694 ','9  ','Ot OR nerv       ',"INS/REPL SINGLE PUL GEN (Begin 2004)"
'8695 ','9  ','Ot OR nerv       ',"INS/REPL DUAL PULSE GEN (Begin 2004)"
'8696 ','9  ','Ot OR nerv       ',"INSERT/REPL OTH NEUROST (Begin 2004)"
'8697 ','9  ','Ot OR nerv       ',"INS/REP 1 PUL GEN (Begin 2005)"
'8698 ','9  ','Ot OR nerv       ',"INS/REP 2 PUL GEN (Begin 2005)"
'062  ','10 ','Thyroidect       ',"UNILAT THYROID LOBECTOMY"
'0631 ','10 ','Thyroidect       ',"EXCISION THYROID LESION"
'0639 ','10 ','Thyroidect       ',"PART THYROIDECTOMY NEC"
'064  ','10 ','Thyroidect       ',"COMPLETE THYROIDECTOMY"
'0650 ','10 ','Thyroidect       ',"SUBSTERN THYROIDECT NOS"
'0651 ','10 ','Thyroidect       ',"PART SUBSTERN THYROIDECT"
'0652 ','10 ','Thyroidect       ',"TOT SUBSTERN THYROIDECT"
'066  ','10 ','Thyroidect       ',"LINGUAL THYROID EXCISION"
'0611 ','11 ','Dx endocr        ',"CLOSED THYROID GLAND BX"
'0612 ','11 ','Dx endocr        ',"OPEN THYROID GLAND BX"
'0613 ','11 ','Dx endocr        ',"PARATHYROID BIOPSY"
'0619 ','11 ','Dx endocr        ',"THYR/PARATHY DX PROC NEC"
'0700 ','11 ','Dx endocr        ',"ADRENAL EXPLORATION NOS"
'0701 ','11 ','Dx endocr        ',"UNILAT ADRENAL EXPLORAT"
'0702 ','11 ','Dx endocr        ',"BILAT ADRENAL EXPLORAT"
'0711 ','11 ','Dx endocr        ',"CLOSED ADRENAL GLAND BX"
'0712 ','11 ','Dx endocr        ',"OPEN ADRENAL GLAND BX"
'0713 ','11 ','Dx endocr        ',"TRANSFRONT PITUITARY BX"
'0714 ','11 ','Dx endocr        ',"TRANSPHEN PITUITARY BX"
'0715 ','11 ','Dx endocr        ',"PITUITARY BIOPSY NOS"
'0716 ','11 ','Dx endocr        ',"THYMUS BIOPSY"
'0717 ','11 ','Dx endocr        ',"PINEAL BIOPSY"
'0719 ','11 ','Dx endocr        ',"ENDOCRINE DX PROC NEC"
'0751 ','11 ','Dx endocr        ',"PINEAL FIELD EXPLORATION"
'0771 ','11 ','Dx endocr        ',"PITUITARY FOSSA EXPLORAT"
'0791 ','11 ','Dx endocr        ',"THYMUS FIELD EXPLORATION"
'0601 ','12 ','Ot Rx endoc      ',"THYROID FIELD ASPIRATION"
'0602 ','12 ','Ot Rx endoc      ',"REOPEN THYROID FIELD WND"
'0609 ','12 ','Ot Rx endoc      ',"INCIS THYROID FIELD NEC"
'067  ','12 ','Ot Rx endoc      ',"THYROGLOSS DUCT EXCISION"
'0681 ','12 ','Ot Rx endoc      ',"TOTAL PARATHYROIDECTOMY"
'0689 ','12 ','Ot Rx endoc      ',"OTHER PARATHYROIDECTOMY"
'0691 ','12 ','Ot Rx endoc      ',"THYROID ISTHMUS DIVISION"
'0692 ','12 ','Ot Rx endoc      ',"THYROID VESSEL LIGATION"
'0693 ','12 ','Ot Rx endoc      ',"THYROID SUTURE"
'0694 ','12 ','Ot Rx endoc      ',"THYROID REIMPLANTATION"
'0695 ','12 ','Ot Rx endoc      ',"PARATHYROID REIMPLANT"
'0698 ','12 ','Ot Rx endoc      ',"OTHER THYROID OPERATIONS"
'0699 ','12 ','Ot Rx endoc      ',"OTHER PARATHYROID OPS"
'0721 ','12 ','Ot Rx endoc      ',"ADRENAL LESION EXCISION"
'0722 ','12 ','Ot Rx endoc      ',"UNILATERAL ADRENALECTOMY"
'0729 ','12 ','Ot Rx endoc      ',"PART ADRENALECTOMY NEC"
'073  ','12 ','Ot Rx endoc      ',"BILATERAL ADRENALECTOMY"
'0741 ','12 ','Ot Rx endoc      ',"ADRENAL INCISION"
'0742 ','12 ','Ot Rx endoc      ',"ADRENAL NERVE DIVISION"
'0743 ','12 ','Ot Rx endoc      ',"ADRENAL VESSEL LIGATION"
'0744 ','12 ','Ot Rx endoc      ',"ADRENAL REPAIR"
'0745 ','12 ','Ot Rx endoc      ',"ADRENAL REIMPLANTATION"
'0749 ','12 ','Ot Rx endoc      ',"ADRENAL OPERATION NEC"
'0752 ','12 ','Ot Rx endoc      ',"PINEAL GLAND INCISION"
'0753 ','12 ','Ot Rx endoc      ',"PARTIAL PINEALECTOMY"
'0754 ','12 ','Ot Rx endoc      ',"TOTAL PINEALECTOMY"
'0759 ','12 ','Ot Rx endoc      ',"PINEAL OPERATION NEC"
'0761 ','12 ','Ot Rx endoc      ',"EXC PITUIT LES-TRANSFRON"
'0762 ','12 ','Ot Rx endoc      ',"EXC PITUIT LES-TRANSPHEN"
'0763 ','12 ','Ot Rx endoc      ',"PART EXCIS PITUITARY NOS"
'0764 ','12 ','Ot Rx endoc      ',"TOT EXC PITUIT-TRANSFRON"
'0765 ','12 ','Ot Rx endoc      ',"TOT EXC PITUIT-TRANSPHEN"
'0768 ','12 ','Ot Rx endoc      ',"TOTAL EXC PITUITARY NEC"
'0769 ','12 ','Ot Rx endoc      ',"TOTAL EXC PITUITARY NOS"
'0772 ','12 ','Ot Rx endoc      ',"PITUITARY GLAND INCISION"
'0779 ','12 ','Ot Rx endoc      ',"PITUITARY OPERATION NEC"
'0780 ','12 ','Ot Rx endoc      ',"THYMECTOMY NOS"
'0781 ','12 ','Ot Rx endoc      ',"PART EXCISION OF THYMUS"
'0782 ','12 ','Ot Rx endoc      ',"TOTAL EXCISION OF THYMUS"
'0783 ','12 ','Ot Rx endoc      ',"THORAC PART EXISN THYMUS (Begin 2007)"
'0784 ','12 ','Ot Rx endoc      ',"THORAC TOTAL EXC THYMUS (Begin 2007)"
'0792 ','12 ','Ot Rx endoc      ',"INCISION OF THYMUS"
'0793 ','12 ','Ot Rx endoc      ',"REPAIR OF THYMUS"
'0794 ','12 ','Ot Rx endoc      ',"THYMUS TRANSPLANTATION"
'0795 ','12 ','Ot Rx endoc      ',"THORAC INCISION THYMUS (Begin 2007)"
'0798 ','12 ','Ot Rx endoc      ',"OTH THORAC OP THYMUS NOS (Begin 2007)"
'0799 ','12 ','Ot Rx endoc      ',"THYMUS OPERATION NEC"
'1160 ','13 ','Corneal tran     ',"CORNEAL TRANSPLANT NOS"
'1161 ','13 ','Corneal tran     ',"LAM KERATPLAST W AUTGRFT"
'1162 ','13 ','Corneal tran     ',"LAMELLAR KERATOPLAST NEC"
'1163 ','13 ','Corneal tran     ',"PERF KERATOPL W AUTOGRFT"
'1164 ','13 ','Corneal tran     ',"PERFORAT KERATOPLAST NEC"
'1169 ','13 ','Corneal tran     ',"CORNEAL TRANSPLANT NEC"
'1251 ','14 ','Glaucoma prs     ',"GONIOPUNCTURE"
'1252 ','14 ','Glaucoma prs     ',"GONIOTOMY"
'1253 ','14 ','Glaucoma prs     ',"GONIOTOMY W GONIOPUNCTUR"
'1254 ','14 ','Glaucoma prs     ',"TRABECULOTOMY AB EXTERNO"
'1255 ','14 ','Glaucoma prs     ',"CYCLODIALYSIS"
'1259 ','14 ','Glaucoma prs     ',"FACILIT INTRAOC CIRC NEC"
'1261 ','14 ','Glaucoma prs     ',"TREPHIN SCLERA W IRIDECT"
'1262 ','14 ','Glaucoma prs     ',"THERMCAUT SCLER W IRIDEC"
'1263 ','14 ','Glaucoma prs     ',"IRIDENCLEISIS/IRIDOTASIS"
'1264 ','14 ','Glaucoma prs     ',"TRABECULECTOM AB EXTERNO"
'1265 ','14 ','Glaucoma prs     ',"SCLER FISTULIZ W IRIDECT"
'1266 ','14 ','Glaucoma prs     ',"POSTOP REVIS SCL FISTUL"
'1267 ','14 ','Glaucoma prs     ',"Insert aqueous drain dev (Begin 2011)"
'1269 ','14 ','Glaucoma prs     ',"SCLER FISTULIZING OP NEC"
'1271 ','14 ','Glaucoma prs     ',"CYCLODIATHERMY"
'1272 ','14 ','Glaucoma prs     ',"CYCLOCRYOTHERAPY"
'1273 ','14 ','Glaucoma prs     ',"CYCLOPHOTOCOAGULATION"
'1274 ','14 ','Glaucoma prs     ',"CIL BODY DIMINUTION NOS"
'1279 ','14 ','Glaucoma prs     ',"GLAUCOMA PROCEDURE NEC"
'1311 ','15 ','Cataract prs     ',"TEMP-INF INTRCAP LENS EX"
'1319 ','15 ','Cataract prs     ',"INTRACAPSUL LENS EXT NEC"
'132  ','15 ','Cataract prs     ',"LINEAR EXTRACAP LENS EXT"
'133  ','15 ','Cataract prs     ',"SIMPL ASPIR LENS EXTRACT"
'1341 ','15 ','Cataract prs     ',"CATARAC PHACOEMULS/ASPIR"
'1342 ','15 ','Cataract prs     ',"POST CATARAC FRAG/ASPIR"
'1343 ','15 ','Cataract prs     ',"CATARACT FRAG/ASPIR NEC"
'1351 ','15 ','Cataract prs     ',"TEMP-INF XTRACAP LENS EX"
'1359 ','15 ','Cataract prs     ',"EXTRACAP LENS EXTRAC NEC"
'1361 ','15 ','Cataract prs     ',"DISC PRIME MEM CATARACT (Begin 1980 End 1991)"
'1362 ','15 ','Cataract prs     ',"EXC PRIME MEM CATARACT (Begin 1980 End 1991)"
'1363 ','15 ','Cataract prs     ',"MECH FRAG MEM CATARACT (Begin 1980 End 1991)"
'1364 ','15 ','Cataract prs     ',"AFTER-CATAR DISCISSION"
'1365 ','15 ','Cataract prs     ',"AFTER-CATARACT EXCISION"
'1366 ','15 ','Cataract prs     ',"AFTER CATAR FRAGMNTATION"
'1369 ','15 ','Cataract prs     ',"CATARACT EXTRACTION NEC"
'1370 ','15 ','Cataract prs     ',"INSERT PSEUDOPHAKOS NOS"
'1371 ','15 ','Cataract prs     ',"INSERT LENS AT CATAR EXT"
'1372 ','15 ','Cataract prs     ',"SECONDARY INSERT LENS"
'138  ','15 ','Cataract prs     ',"IMPLANTED LENS REMOVAL"
'139  ','15 ','Cataract prs     ',"OTHER OPERATIONS ON LENS"
'1390 ','15 ','Cataract prs     ',"OPERATION ON LENS NEC (Begin 2006)"
'1391 ','15 ','Cataract prs     ',"IMPL INTRAOC TELESC PROS (Begin 2006)"
'1431 ','16 ','Rpr retina       ',"RETINAL TEAR DIATHERMY"
'1432 ','16 ','Rpr retina       ',"RETINAL TEAR CRYOTHERAPY"
'1433 ','16 ','Rpr retina       ',"RETINAL TEAR XENON COAG"
'1434 ','16 ','Rpr retina       ',"RETINAL TEAR LASER COAG"
'1435 ','16 ','Rpr retina       ',"RETINA TEAR PHOTOCOA NOS"
'1439 ','16 ','Rpr retina       ',"RETINAL TEAR REPAIR NEC"
'1441 ','16 ','Rpr retina       ',"SCLERAL BUCKLE W IMPLANT"
'1449 ','16 ','Rpr retina       ',"SCLERAL BUCKLING NEC"
'1451 ','16 ','Rpr retina       ',"DETACH RETINA-DIATHERMY"
'1452 ','16 ','Rpr retina       ',"DETACH RETINA-CRYOTHERAP"
'1453 ','16 ','Rpr retina       ',"DETACH RETINA XENON COAG"
'1454 ','16 ','Rpr retina       ',"DETACH RETINA LASER COAG"
'1455 ','16 ','Rpr retina       ',"DETACH RET PHOTOCOAG NOS"
'1459 ','16 ','Rpr retina       ',"REPAIR RETINA DETACH NEC"
'1421 ','17 ','Retin les pr     ',"CHORIORET LES DIATHERMY"
'1422 ','17 ','Retin les pr     ',"CHORIORETIN LES CRYOTHER"
'1423 ','17 ','Retin les pr     ',"CHORIORET LES XENON COAG"
'1424 ','17 ','Retin les pr     ',"CHORIORET LES LASER COAG"
'1425 ','17 ','Retin les pr     ',"CHORIORET LES P/COAG NOS"
'1426 ','17 ','Retin les pr     ',"CHORIORET LES RADIOTHER"
'1427 ','17 ','Retin les pr     ',"CHORIORET LES RAD IMPLAN"
'1429 ','17 ','Retin les pr     ',"CHORIORET LES DESTR NEC"
'0811 ','18 ','Dx eye           ',"EYELID BIOPSY"
'0819 ','18 ','Dx eye           ',"EYELID DX PROCEDURE NEC"
'0911 ','18 ','Dx eye           ',"LACRIMAL GLAND BIOPSY"
'0912 ','18 ','Dx eye           ',"LACRIMAL SAC BIOPSY"
'0919 ','18 ','Dx eye           ',"LACRIMAL SYS DX PROC NEC"
'1021 ','18 ','Dx eye           ',"CONJUNCTIVAL BIOPSY"
'1029 ','18 ','Dx eye           ',"CONJUNCTIVA DX PROC NEC"
'1121 ','18 ','Dx eye           ',"CORNEAL SCRAPE FOR SMEAR"
'1122 ','18 ','Dx eye           ',"CORNEAL BIOPSY"
'1129 ','18 ','Dx eye           ',"CORNEAL DX PROC NEC"
'1221 ','18 ','Dx eye           ',"DX ASPIRAT-ANT CHAMBER"
'1222 ','18 ','Dx eye           ',"IRIS BIOPSY"
'1229 ','18 ','Dx eye           ',"ANT SEGMENT DX PROC NEC"
'1411 ','18 ','Dx eye           ',"DIAGNOST VITREOUS ASPIR"
'1419 ','18 ','Dx eye           ',"DX PROC POST SEG NEC"
'1501 ','18 ','Dx eye           ',"EXTRAOC MUSC-TEND BIOPSY"
'1509 ','18 ','Dx eye           ',"EXTRAOC MUSC DX PROC NEC"
'1621 ','18 ','Dx eye           ',"OPHTHALMOSCOPY"
'1622 ','18 ','Dx eye           ',"DIAGNOSTIC ASP OF ORBIT"
'1623 ','18 ','Dx eye           ',"EYEBALL & ORBIT BIOPSY"
'1629 ','18 ','Dx eye           ',"EYEBAL/ORBIT DX PROC NEC"
'0801 ','19 ','Ot Rx eye        ',"INCISION OF LID MARGIN"
'0802 ','19 ','Ot Rx eye        ',"BLEPHARORRHAPHY SEVERING"
'0809 ','19 ','Ot Rx eye        ',"OTHER EYELID INCISION"
'0820 ','19 ','Ot Rx eye        ',"REMOVE EYELID LESION NOS"
'0821 ','19 ','Ot Rx eye        ',"CHALAZION EXCISION"
'0822 ','19 ','Ot Rx eye        ',"EXCISE MINOR LES LID NEC"
'0823 ','19 ','Ot Rx eye        ',"EXC MAJ LES LID PRT-THIC"
'0824 ','19 ','Ot Rx eye        ',"EXC MAJ LES LID FUL-THIC"
